"","country","prov","dataset.id","distance_m","within_distance_type","pair_id","site_role","origin","org.site","unique.id","river","latitude","longitude","st.yr","ed.yr","yr.ln","yr.num"
"22","England","James Sinclair","ENG_062_MZB_LO",22.4983524091366,"within_100m","ENG_062_MZB_LO_235__ENG_062_MZB_LO_246","j","second data call; new data","1402","ENG_062_MZB_LO_246","WEST BROOK",53.7932062088,-1.7611992935,2002,2017,16,6
"23","England","James Sinclair","ENG_062_MZB_LO",43.3863634629123,"within_100m","ENG_062_MZB_LO_624__ENG_062_MZB_LO_628","i","second data call; new data","9264","ENG_062_MZB_LO_624","ERME",50.3616218193,-3.9127710883,2004,2014,11,5
"24","England","James Sinclair","ENG_062_MZB_LO",43.3863634629123,"within_100m","ENG_062_MZB_LO_624__ENG_062_MZB_LO_628","j","second data call; new data","9284","ENG_062_MZB_LO_628","LUD BROOK",50.3615149111,-3.9121621914,2004,2021,18,6
"25","England","James Sinclair","ENG_062_MZB_LO",96.3063741783984,"within_100m","ENG_062_MZB_LO_1089__ENG_062_MZB_LO_992","i","second data call; new data","35047","ENG_062_MZB_LO_992","LASHLAKE STREAM",51.7576968439,-0.9737038105,2003,2018,16,6
"26","England","James Sinclair","ENG_062_MZB_LO",96.3063741783984,"within_100m","ENG_062_MZB_LO_1089__ENG_062_MZB_LO_992","j","second data call; new data","35948","ENG_062_MZB_LO_1089","SCOTSGROVE BROOK",51.7579158757,-0.975104264,2003,2015,13,6
"27","England","James Sinclair","ENG_062_MZB_LO",71.7489072982511,"within_100m","ENG_062_MZB_LO_1007__ENG_062_MZB_LO_1113","i","second data call; new data","35170","ENG_062_MZB_LO_1007","PETTYS BROOK",51.2922515958,-1.026337125,2006,2020,15,15
"28","England","James Sinclair","ENG_062_MZB_LO",71.7489072982511,"within_100m","ENG_062_MZB_LO_1007__ENG_062_MZB_LO_1113","j","second data call; new data","36041","ENG_062_MZB_LO_1113","LODDON",51.2917600123,-1.025616115,2004,2023,20,20
"29","England","James Sinclair","ENG_062_MZB_LO",89.0375359215811,"within_100m","ENG_062_MZB_LO_1184__ENG_062_MZB_LO_1261","i","second data call; new data","42005","ENG_062_MZB_LO_1184","OUSE (SUSSEX)",50.9943597977,0.0018665676,2002,2015,14,7
"30","England","James Sinclair","ENG_062_MZB_LO",89.0375359215811,"within_100m","ENG_062_MZB_LO_1184__ENG_062_MZB_LO_1261","j","second data call; new data","42543","ENG_062_MZB_LO_1261","PELLINGFORD BROOK",50.9949160846,0.000892943,2002,2014,13,5
"31","England","James Sinclair","ENG_062_MZB_LO",93.7047588375933,"within_100m","ENG_062_MZB_LO_1235__ENG_062_MZB_LO_1330","i","second data call; new data","42285","ENG_062_MZB_LO_1235","HORTON HEATH STR. (FORD LAKE)",50.9264652058,-1.2654682029,2002,2014,13,6
"32","England","James Sinclair","ENG_062_MZB_LO",93.7047588375933,"within_100m","ENG_062_MZB_LO_1235__ENG_062_MZB_LO_1330","j","second data call; new data","43125","ENG_062_MZB_LO_1330","HAMBLE",50.926465522,-1.264087992,2003,2019,17,14
"33","England","James Sinclair","ENG_062_MZB_LO",96.5996247209442,"within_100m","ENG_062_MZB_LO_1211__ENG_062_MZB_LO_1382","i","second data call; new data","42119","ENG_062_MZB_LO_1211","BOURNE RIVULET",51.236761189,-1.384726197,2003,2017,15,8
"34","England","James Sinclair","ENG_062_MZB_LO",96.5996247209442,"within_100m","ENG_062_MZB_LO_1211__ENG_062_MZB_LO_1382","j","second data call; new data","43637","ENG_062_MZB_LO_1382","BOURNE RIVULET",51.2367687039,-1.386158515,2003,2017,15,8
"35","England","James Sinclair","ENG_062_MZB_LO",85.4222904011677,"within_100m","ENG_062_MZB_LO_1388__ENG_062_MZB_LO_1415","i","second data call; new data","43711","ENG_062_MZB_LO_1388","HURST HAVEN",50.8406703126,0.3103333809,2003,2014,12,5
"36","England","James Sinclair","ENG_062_MZB_LO",85.4222904011677,"within_100m","ENG_062_MZB_LO_1388__ENG_062_MZB_LO_1415","j","second data call; new data","44028","ENG_062_MZB_LO_1415","RICKNEY SEWER",50.8401031334,0.3094530995,2002,2017,16,7
"37","England","James Sinclair","ENG_062_MZB_LO",39.8024744104599,"within_100m","ENG_062_MZB_LO_1457__ENG_062_MZB_LO_1458","i","second data call; new data","45327","ENG_062_MZB_LO_1457","LITTLE LUGG",52.0959278772,-2.6538594411,2002,2014,13,5
"38","England","James Sinclair","ENG_062_MZB_LO",39.8024744104599,"within_100m","ENG_062_MZB_LO_1457__ENG_062_MZB_LO_1458","j","second data call; new data","45328","ENG_062_MZB_LO_1458","WITHINGTON MARSH BROOK",52.0959671625,-2.6532615076,2004,2018,15,5
"39","England","James Sinclair","ENG_062_MZB_LO",83.5018468155082,"within_100m","ENG_062_MZB_LO_1510__ENG_062_MZB_LO_1650","i","second data call; new data","47146","ENG_062_MZB_LO_1510","SOAR",52.5815447281,-1.188098361,2002,2014,13,6
"40","England","James Sinclair","ENG_062_MZB_LO",83.5018468155082,"within_100m","ENG_062_MZB_LO_1510__ENG_062_MZB_LO_1650","j","second data call; new data","48601","ENG_062_MZB_LO_1650","SENCE (SOAR)",52.5812221252,-1.1869384139,2002,2014,13,8
"41","England","James Sinclair","ENG_062_MZB_LO",1.93352797717779,"within_100m","ENG_062_MZB_LO_1855__ENG_062_MZB_LO_1873","i","second data call; new data","51357","ENG_062_MZB_LO_1855","DOVE (DOVE(UPPER))",53.1352220254,-1.8208602476,2002,2015,14,10
"42","England","James Sinclair","ENG_062_MZB_LO",1.93352797717779,"within_100m","ENG_062_MZB_LO_1855__ENG_062_MZB_LO_1873","j","second data call; new data","51578","ENG_062_MZB_LO_1873","DOVE (DOVE(UPPER))",53.1352040476,-1.8208603218,2002,2012,11,9
"43","England","James Sinclair","ENG_062_MZB_LO",79.672038313431,"within_100m","ENG_062_MZB_LO_1623__ENG_062_MZB_LO_1915","i","second data call; new data","48401","ENG_062_MZB_LO_1623","HYDE BROOK",51.9451371774,-2.1180794725,2002,2014,13,5
"44","England","James Sinclair","ENG_062_MZB_LO",79.672038313431,"within_100m","ENG_062_MZB_LO_1623__ENG_062_MZB_LO_1915","j","second data call; new data","52025","ENG_062_MZB_LO_1915","SWILGATE",51.9453158164,-2.11924382,2002,2014,13,5
"45","England","James Sinclair","ENG_062_MZB_LO",99.8840377969218,"within_100m","ENG_062_MZB_LO_1790__ENG_062_MZB_LO_1976","i","second data call; new data","50791","ENG_062_MZB_LO_1790","TEME",52.35914394,-2.8786771135,2002,2024,23,22
"46","England","James Sinclair","ENG_062_MZB_LO",99.8840377969218,"within_100m","ENG_062_MZB_LO_1790__ENG_062_MZB_LO_1976","j","second data call; new data","52662","ENG_062_MZB_LO_1976","CLUN",52.360049449,-2.8790181256,2002,2023,22,15
"47","England","James Sinclair","ENG_062_MZB_LO",50.4495976992458,"within_100m","ENG_062_MZB_LO_2073__ENG_062_MZB_LO_2074","i","second data call; new data","53508","ENG_062_MZB_LO_2073","TAME (UT - OLDBURY ARM)",52.5648062243,-1.9940798682,2002,2014,13,8
"48","England","James Sinclair","ENG_062_MZB_LO",50.4495976992458,"within_100m","ENG_062_MZB_LO_2073__ENG_062_MZB_LO_2074","j","second data call; new data","53510","ENG_062_MZB_LO_2074","FORD BROOK",52.5651838254,-1.9945371557,2002,2018,17,6
"49","England","James Sinclair","ENG_062_MZB_LO",4.83218474509684,"within_100m","ENG_062_MZB_LO_2073__ENG_062_MZB_LO_2075","i","second data call; new data","53508","ENG_062_MZB_LO_2073","TAME (UT - OLDBURY ARM)",52.5648062243,-1.9940798682,2002,2014,13,8
"50","England","James Sinclair","ENG_062_MZB_LO",4.83218474509684,"within_100m","ENG_062_MZB_LO_2073__ENG_062_MZB_LO_2075","j","second data call; new data","53513","ENG_062_MZB_LO_2075","TAME (UT -  WOLVERHAMPTON ARM)",52.5647612745,-1.994079874,2002,2015,14,6
"51","England","James Sinclair","ENG_062_MZB_LO",54.4131779093051,"within_100m","ENG_062_MZB_LO_2074__ENG_062_MZB_LO_2075","i","second data call; new data","53510","ENG_062_MZB_LO_2074","FORD BROOK",52.5651838254,-1.9945371557,2002,2018,17,6
"52","England","James Sinclair","ENG_062_MZB_LO",54.4131779093051,"within_100m","ENG_062_MZB_LO_2074__ENG_062_MZB_LO_2075","j","second data call; new data","53513","ENG_062_MZB_LO_2075","TAME (UT -  WOLVERHAMPTON ARM)",52.5647612745,-1.994079874,2002,2015,14,6
"53","England","James Sinclair","ENG_062_MZB_LO",65.8672381985281,"within_100m","ENG_062_MZB_LO_1565__ENG_062_MZB_LO_2104","i","second data call; new data","47545","ENG_062_MZB_LO_1565","ALPORT",53.402601967,-1.7887137832,2002,2013,12,5
"54","England","James Sinclair","ENG_062_MZB_LO",65.8672381985281,"within_100m","ENG_062_MZB_LO_1565__ENG_062_MZB_LO_2104","j","second data call; new data","53803","ENG_062_MZB_LO_2104","ASHOP",53.4019908535,-1.7887769646,2002,2024,23,5
"55","England","James Sinclair","ENG_062_MZB_LO",13.6564750124526,"within_100m","ENG_062_MZB_LO_2192__ENG_062_MZB_LO_2193","i","second data call; new data","54699","ENG_062_MZB_LO_2192","EASTWOOD BROOK",51.5778333077,0.6978425785,2002,2016,15,6
"56","England","James Sinclair","ENG_062_MZB_LO",13.6564750124526,"within_100m","ENG_062_MZB_LO_2192__ENG_062_MZB_LO_2193","j","second data call; new data","54701","ENG_062_MZB_LO_2193","NOBLES GREEN DITCH",51.5779198091,0.697992046,2003,2016,14,10
"57","England","James Sinclair","ENG_062_MZB_LO",89.0378161939498,"within_100m","ENG_062_MZB_LO_2198__ENG_062_MZB_LO_2199","i","second data call; new data","54712","ENG_062_MZB_LO_2198","SANDON BROOK (EAST)",51.7150624338,0.5328462201,2002,2015,14,8
"58","England","James Sinclair","ENG_062_MZB_LO",89.0378161939498,"within_100m","ENG_062_MZB_LO_2198__ENG_062_MZB_LO_2199","j","second data call; new data","54713","ENG_062_MZB_LO_2199","SANDON BROOK",51.7149108387,0.5315347371,2002,2023,22,18
"59","England","James Sinclair","ENG_062_MZB_LO",96.6841395181356,"within_100m","ENG_062_MZB_LO_2301__ENG_062_MZB_LO_2365","i","second data call; new data","54999","ENG_062_MZB_LO_2301","ANCHOLME",53.4066591834,-0.4490687794,2002,2023,22,20
"60","England","James Sinclair","ENG_062_MZB_LO",96.6841395181356,"within_100m","ENG_062_MZB_LO_2301__ENG_062_MZB_LO_2365","j","second data call; new data","55279","ENG_062_MZB_LO_2365","RASE",53.4066396479,-0.44756512,2002,2022,21,18
"61","England","James Sinclair","ENG_062_MZB_LO",64.7959019124827,"within_100m","ENG_062_MZB_LO_2573__ENG_062_MZB_LO_2574","i","second data call; new data","56047","ENG_062_MZB_LO_2573","OLD BEDFORD/RIVER DELPH",52.519625275,0.2520641298,2002,2014,13,11
"62","England","James Sinclair","ENG_062_MZB_LO",64.7959019124827,"within_100m","ENG_062_MZB_LO_2573__ENG_062_MZB_LO_2574","j","second data call; new data","56048","ENG_062_MZB_LO_2574","COUNTER DRAIN",52.5198495406,0.251146947,2002,2015,14,11
"63","England","James Sinclair","ENG_062_MZB_LO",16.885917338124,"within_100m","ENG_062_MZB_LO_2921__ENG_062_MZB_LO_2922","i","second data call; new data","67365","ENG_062_MZB_LO_2921","MARTHALL BK",53.304333886,-2.3406885942,2002,2013,12,5
"64","England","James Sinclair","ENG_062_MZB_LO",16.885917338124,"within_100m","ENG_062_MZB_LO_2921__ENG_062_MZB_LO_2922","j","second data call; new data","67366","ENG_062_MZB_LO_2922","PEDLEY BK",53.3044865201,-2.3407498343,2003,2013,11,5
"65","England","James Sinclair","ENG_062_MZB_LO",39.754597381003,"within_100m","ENG_062_MZB_LO_2928__ENG_062_MZB_LO_2932","i","second data call; new data","67431","ENG_062_MZB_LO_2928","CRINGLE BK",53.4409494653,-2.2381332105,2002,2015,14,6
"66","England","James Sinclair","ENG_062_MZB_LO",39.754597381003,"within_100m","ENG_062_MZB_LO_2928__ENG_062_MZB_LO_2932","j","second data call; new data","67463","ENG_062_MZB_LO_2932","CHORLTON BK",53.4412273144,-2.2385412418,2002,2014,13,6
"67","England","James Sinclair","ENG_062_MZB_LO",64.5297005975862,"within_100m","ENG_062_MZB_LO_2935__ENG_062_MZB_LO_2952","i","second data call; new data","67542","ENG_062_MZB_LO_2935","ETHEROW",53.4544447855,-1.9864660335,2002,2023,22,19
"68","England","James Sinclair","ENG_062_MZB_LO",64.5297005975862,"within_100m","ENG_062_MZB_LO_2935__ENG_062_MZB_LO_2952","j","second data call; new data","67777","ENG_062_MZB_LO_2952","GLOSSOP BK",53.4538784673,-1.9861349151,2002,2016,15,8
"69","England","James Sinclair","ENG_062_MZB_LO",19.7199201714124,"within_100m","ENG_062_MZB_LO_2949__ENG_062_MZB_LO_2995","i","second data call; new data","67753","ENG_062_MZB_LO_2949","ROSSENDALE BK",53.2412304548,-2.1097753584,2002,2023,22,9
"70","England","James Sinclair","ENG_062_MZB_LO",19.7199201714124,"within_100m","ENG_062_MZB_LO_2949__ENG_062_MZB_LO_2995","j","second data call; new data","68108","ENG_062_MZB_LO_2995","BOLLIN",53.2411947777,-2.1094755835,2002,2022,21,18
"71","England","James Sinclair","ENG_062_MZB_LO",61.9035754756399,"within_100m","ENG_062_MZB_LO_3002__ENG_062_MZB_LO_3003","i","second data call; new data","68213","ENG_062_MZB_LO_3002","WHITE ASH BROOK",53.7553085098,-2.4014932008,2002,2015,14,5
"72","England","James Sinclair","ENG_062_MZB_LO",61.9035754756399,"within_100m","ENG_062_MZB_LO_3002__ENG_062_MZB_LO_3003","j","second data call; new data","68286","ENG_062_MZB_LO_3003","TINKER BROOK",53.7553117558,-2.400522581,2002,2015,14,5
"73","England","James Sinclair","ENG_062_MZB_LO",33.8644844235618,"within_100m","ENG_062_MZB_LO_2923__ENG_062_MZB_LO_3007","i","second data call; new data","67369","ENG_062_MZB_LO_2923","YARROW",53.6409557526,-2.6181958541,2002,2014,13,10
"74","England","James Sinclair","ENG_062_MZB_LO",33.8644844235618,"within_100m","ENG_062_MZB_LO_2923__ENG_062_MZB_LO_3007","j","second data call; new data","68310","ENG_062_MZB_LO_3007","BLACK BROOK (YARROW)",53.641270251,-2.618215572,2002,2013,12,12
"75","England","James Sinclair","ENG_062_MZB_LO",80.4720709565538,"within_100m","ENG_062_MZB_LO_2967__ENG_062_MZB_LO_3046","i","second data call; new data","67862","ENG_062_MZB_LO_2967","WILSON BK",53.4534184517,-2.0951912262,2002,2014,13,6
"76","England","James Sinclair","ENG_062_MZB_LO",80.4720709565538,"within_100m","ENG_062_MZB_LO_2967__ENG_062_MZB_LO_3046","j","second data call; new data","69106","ENG_062_MZB_LO_3046","TAME (NORTH WEST)",53.4540471092,-2.0958703016,2002,2022,21,13
"77","England","James Sinclair","ENG_062_MZB_LO",33.5295639012854,"within_100m","ENG_062_MZB_LO_3377__ENG_062_MZB_LO_879","i","second data call; new data","33889","ENG_062_MZB_LO_879","ASH (LEE)",51.8481447225,0.0746630996,2002,2024,23,22
"78","England","James Sinclair","ENG_062_MZB_LO",33.5295639012854,"within_100m","ENG_062_MZB_LO_3377__ENG_062_MZB_LO_879","j","second data call; new data","157240","ENG_062_MZB_LO_3377","ASH (LEE)",51.8484484273,0.074778703,2011,2023,13,9
"79","England","James Sinclair","ENG_062_MZB_LO",9.16387494090264,"within_100m","ENG_062_MZB_LO_1351__ENG_062_MZB_LO_3385","i","second data call; new data","43301","ENG_062_MZB_LO_1351","TEST",50.9589829322,-1.4963326136,2002,2011,10,6
"80","England","James Sinclair","ENG_062_MZB_LO",9.16387494090264,"within_100m","ENG_062_MZB_LO_1351__ENG_062_MZB_LO_3385","j","second data call; new data","158095","ENG_062_MZB_LO_3385","TEST",50.9589554029,-1.4962047683,2011,2023,13,10
"81","Spain","Aitor Larrañaga","ESP_034_MZB_LO",76.7931968372616,"within_100m","ESP_034_MZB_LO_21__ESP_034_MZB_LO_6","i","second data call; new data","Gip14","ESP_034_MZB_LO_6","Urumea",43.29429139,-1.729233825,1996,2021,26,24
"82","Spain","Aitor Larrañaga","ESP_034_MZB_LO",76.7931968372616,"within_100m","ESP_034_MZB_LO_21__ESP_034_MZB_LO_6","j","second data call; new data","Gip28","ESP_034_MZB_LO_21","Endara",43.2936662,-1.729694356,1996,2021,26,24
"83","Spain","Aitor Larrañaga","ESP_034_MZB_LO",1.32269487504275,"within_100m","ESP_034_MZB_LO_56__ESP_034_MZB_LO_87","i","second data call; new data","Gip6","ESP_034_MZB_LO_56","Deba",43.10151623,-2.391545259,1996,2021,26,24
"84","Spain","Aitor Larrañaga","ESP_034_MZB_LO",1.32269487504275,"within_100m","ESP_034_MZB_LO_56__ESP_034_MZB_LO_87","j","first call; data Ellen used","103000527","ESP_034_MZB_LO_87","Antzuola",43.1015275,-2.3915388,2007,2019,13,13
"85","Spain","Aitor Larrañaga","ESP_034_MZB_LO",13.5677137796344,"within_100m","ESP_034_MZB_LO_25__ESP_034_MZB_LO_93","i","second data call; new data","Gip31","ESP_034_MZB_LO_25","Oria",43.05029869,-2.219227779,1996,2021,26,24
"86","Spain","Aitor Larrañaga","ESP_034_MZB_LO",13.5677137796344,"within_100m","ESP_034_MZB_LO_25__ESP_034_MZB_LO_93","j","first call; data Ellen used","103000533","ESP_034_MZB_LO_93","Estanda",43.0504046,-2.2191363,2002,2019,18,18
"87","Spain","Aitor Larrañaga","ESP_034_MZB_LO",31.8903319070977,"within_100m","ESP_034_MZB_LO_107__ESP_034_MZB_LO_6","i","second data call; new data","Gip14","ESP_034_MZB_LO_6","Urumea",43.29429139,-1.729233825,1996,2021,26,24
"88","Spain","Aitor Larrañaga","ESP_034_MZB_LO",31.8903319070977,"within_100m","ESP_034_MZB_LO_107__ESP_034_MZB_LO_6","j","first call; data Ellen used","103000547","ESP_034_MZB_LO_107","Bidasoa",43.2940308,-1.7294226,1997,2019,23,23
"89","Spain","Aitor Larrañaga","ESP_034_MZB_LO",44.9041806543334,"within_100m","ESP_034_MZB_LO_107__ESP_034_MZB_LO_21","i","second data call; new data","Gip28","ESP_034_MZB_LO_21","Endara",43.2936662,-1.729694356,1996,2021,26,24
"90","Spain","Aitor Larrañaga","ESP_034_MZB_LO",44.9041806543334,"within_100m","ESP_034_MZB_LO_107__ESP_034_MZB_LO_21","j","first call; data Ellen used","103000547","ESP_034_MZB_LO_107","Bidasoa",43.2940308,-1.7294226,1997,2019,23,23
"91","Spain","Aitor Larrañaga","ESP_034_MZB_LO",80.5646681520732,"within_100m","ESP_034_MZB_LO_138__ESP_034_MZB_LO_44","i","second data call; new data","Gip49","ESP_034_MZB_LO_44","Oria",43.08181,-2.152854,2003,2017,15,15
"92","Spain","Aitor Larrañaga","ESP_034_MZB_LO",80.5646681520732,"within_100m","ESP_034_MZB_LO_138__ESP_034_MZB_LO_44","j","first call; data Ellen used","103000578","ESP_034_MZB_LO_138","Oria",43.0810712,-2.1527286,1993,2019,27,27
"93","Spain","Aitor Larrañaga","ESP_034_MZB_LO",55.7588610540788,"within_100m","ESP_034_MZB_LO_11__ESP_034_MZB_LO_170","i","second data call; new data","Gip19","ESP_034_MZB_LO_11","Deba",43.082,-2.447405,1987,2021,35,25
"94","Spain","Aitor Larrañaga","ESP_034_MZB_LO",55.7588610540788,"within_100m","ESP_034_MZB_LO_11__ESP_034_MZB_LO_170","j","first call; data Ellen used","103000610","ESP_034_MZB_LO_170","Deba",43.0814872,-2.4474737,2002,2019,18,18
"95","Spain","Aitor Larrañaga","ESP_034_MZB_LO",28.2820465811965,"within_100m","ESP_034_MZB_LO_187__ESP_034_MZB_LO_45","i","second data call; new data","Gip5","ESP_034_MZB_LO_45","Oria",43.0487488,-2.15797857,1998,2021,24,22
"96","Spain","Aitor Larrañaga","ESP_034_MZB_LO",28.2820465811965,"within_100m","ESP_034_MZB_LO_187__ESP_034_MZB_LO_45","j","first call; data Ellen used","103000627","ESP_034_MZB_LO_187","Zaldivia",43.0485376,-2.1577687,2002,2019,18,18
"97","Spain","Aitor Larrañaga","ESP_034_MZB_LO",55.7588610540788,"within_100m","ESP_034_MZB_LO_11__ESP_034_MZB_LO_305","i","second data call; new data","Gip19","ESP_034_MZB_LO_11","Deba",43.082,-2.447405,1987,2021,35,25
"98","Spain","Aitor Larrañaga","ESP_034_MZB_LO",55.7588610540788,"within_100m","ESP_034_MZB_LO_11__ESP_034_MZB_LO_305","j","second data call; new data","BC137","ESP_034_MZB_LO_305","Deba",43.0814872,-2.4474737,2002,2021,20,20
"99","Spain","Aitor Larrañaga","ESP_034_MZB_LO",28.2820465811965,"within_100m","ESP_034_MZB_LO_328__ESP_034_MZB_LO_45","i","second data call; new data","Gip5","ESP_034_MZB_LO_45","Oria",43.0487488,-2.15797857,1998,2021,24,22
"100","Spain","Aitor Larrañaga","ESP_034_MZB_LO",28.2820465811965,"within_100m","ESP_034_MZB_LO_328__ESP_034_MZB_LO_45","j","second data call; new data","BC164","ESP_034_MZB_LO_328","Zaldivia",43.0485376,-2.1577687,2002,2021,20,20
"101","Spain","Aitor Larrañaga","ESP_034_MZB_LO",1.32269487504275,"within_100m","ESP_034_MZB_LO_340__ESP_034_MZB_LO_56","i","second data call; new data","Gip6","ESP_034_MZB_LO_56","Deba",43.10151623,-2.391545259,1996,2021,26,24
