"","country","prov","dataset.id","distance_m","within_distance_type","pair_id","site_role","origin","org.site","unique.id","river","latitude","longitude","st.yr","ed.yr","yr.ln","yr.num"
"30","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",743.32397299359,"within_100m_to_1000m","BEL_005_MZB_LO_120__BEL_005_MZB_LO_124","j","merge of Ellen's data and second data call","BEVL_VMM_406000","BEL_005_MZB_LO_124","WINGE",50.9630929,4.7199793,1989,2018,30,19
"31","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",677.884761891873,"within_100m_to_1000m","BEL_005_MZB_LO_143__BEL_005_MZB_LO_145","i","merge of Ellen's data and second data call","BEVL_VMM_45500","BEL_005_MZB_LO_143","WATERGANG VAN DE MOERBEKEPOLDER",51.2156366,3.9228322,1989,2020,32,20
"32","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",677.884761891873,"within_100m_to_1000m","BEL_005_MZB_LO_143__BEL_005_MZB_LO_145","j","merge of Ellen's data and second data call","BEVL_VMM_45600","BEL_005_MZB_LO_145","WATERGANG VAN DE MOERBEKEPOLDER",51.2219466,3.9228292,1991,2005,15,10
"33","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",651.42597185874,"within_100m_to_1000m","BEL_005_MZB_LO_152__BEL_005_MZB_LO_50","i","merge of Ellen's data and second data call","BEVL_VMM_220500","BEL_005_MZB_LO_50","DIJLE II",50.8378592,4.6431601,1994,2010,17,12
"34","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",651.42597185874,"within_100m_to_1000m","BEL_005_MZB_LO_152__BEL_005_MZB_LO_50","j","merge of Ellen's data and second data call","BEVL_VMM_483500","BEL_005_MZB_LO_152","",50.8318202,4.6422872,1989,2010,22,10
"35","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",552.542027014774,"within_100m_to_1000m","BEL_005_MZB_LO_156__BEL_005_MZB_LO_51","i","merge of Ellen's data and second data call","BEVL_VMM_221000","BEL_005_MZB_LO_51","DIJLE I",50.8027831,4.6425436,1989,2023,35,21
"36","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",552.542027014774,"within_100m_to_1000m","BEL_005_MZB_LO_156__BEL_005_MZB_LO_51","j","merge of Ellen's data and second data call","BEVL_VMM_487000","BEL_005_MZB_LO_156","NETHEN",50.7976574,4.6432229,1989,2022,34,18
"37","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",918.654437370542,"within_100m_to_1000m","BEL_005_MZB_LO_156__BEL_005_MZB_LO_157","i","merge of Ellen's data and second data call","BEVL_VMM_487000","BEL_005_MZB_LO_156","NETHEN",50.7976574,4.6432229,1989,2022,34,18
"38","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",918.654437370542,"within_100m_to_1000m","BEL_005_MZB_LO_156__BEL_005_MZB_LO_157","j","merge of Ellen's data and second data call","BEVL_VMM_488000","BEL_005_MZB_LO_157","LAAN",50.7917737,4.6334307,1994,2023,30,19
"39","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",900.376724354949,"within_100m_to_1000m","BEL_005_MZB_LO_163__BEL_005_MZB_LO_172","i","merge of Ellen's data and second data call","BEVL_VMM_511000","BEL_005_MZB_LO_163","DENDER I",50.7618301,3.8668974,1989,2023,35,34
"40","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",900.376724354949,"within_100m_to_1000m","BEL_005_MZB_LO_163__BEL_005_MZB_LO_172","j","merge of Ellen's data and second data call","BEVL_VMM_532100","BEL_005_MZB_LO_172","MOLENBEEK - KALSTERBEEK",50.7702099,3.8671909,1993,2023,31,20
"41","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",934.723746345876,"within_100m_to_1000m","BEL_005_MZB_LO_181__BEL_005_MZB_LO_90","i","merge of Ellen's data and second data call","BEVL_VMM_30000","BEL_005_MZB_LO_90","KANAAL GENT-TERNEUZEN + GENTSE HAVENDOKKEN",51.2076106,3.8031094,1990,2023,34,32
"42","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",934.723746345876,"within_100m_to_1000m","BEL_005_MZB_LO_181__BEL_005_MZB_LO_90","j","merge of Ellen's data and second data call","BEVL_VMM_58000","BEL_005_MZB_LO_181","",51.2113909,3.8155855,1989,2005,17,13
"43","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",735.413144219349,"within_100m_to_1000m","BEL_005_MZB_LO_191__BEL_005_MZB_LO_192","i","merge of Ellen's data and second data call","BEVL_VMM_679010","BEL_005_MZB_LO_191","VEURNE AMBACHT POLDER WATERLOPEN",51.1151875,2.751316,1990,2020,31,13
"44","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",735.413144219349,"within_100m_to_1000m","BEL_005_MZB_LO_191__BEL_005_MZB_LO_192","j","merge of Ellen's data and second data call","BEVL_VMM_684000","BEL_005_MZB_LO_192","LANGGELEED",51.1214194,2.7468145,1990,2019,30,10
"45","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",561.938365268505,"within_100m_to_1000m","BEL_005_MZB_LO_189__BEL_005_MZB_LO_194","i","merge of Ellen's data and second data call","BEVL_VMM_67000","BEL_005_MZB_LO_189","WEERIJSEBEEK",51.4211058,4.6411677,1989,2022,34,24
"46","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",561.938365268505,"within_100m_to_1000m","BEL_005_MZB_LO_189__BEL_005_MZB_LO_194","j","merge of Ellen's data and second data call","BEVL_VMM_69000","BEL_005_MZB_LO_194","SLUISKENSVIJVER",51.4203405,4.6494432,1989,2023,35,16
"47","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",466.233325601836,"within_100m_to_1000m","BEL_005_MZB_LO_189__BEL_005_MZB_LO_197","i","merge of Ellen's data and second data call","BEVL_VMM_67000","BEL_005_MZB_LO_189","WEERIJSEBEEK",51.4211058,4.6411677,1989,2022,34,24
"48","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",466.233325601836,"within_100m_to_1000m","BEL_005_MZB_LO_189__BEL_005_MZB_LO_197","j","merge of Ellen's data and second data call","BEVL_VMM_70000","BEL_005_MZB_LO_197","WEHAGENBEEK",51.4168515,4.642537,1989,2023,35,21
"49","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",596.442551418128,"within_100m_to_1000m","BEL_005_MZB_LO_194__BEL_005_MZB_LO_197","i","merge of Ellen's data and second data call","BEVL_VMM_69000","BEL_005_MZB_LO_194","SLUISKENSVIJVER",51.4203405,4.6494432,1989,2023,35,16
"50","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",596.442551418128,"within_100m_to_1000m","BEL_005_MZB_LO_194__BEL_005_MZB_LO_197","j","merge of Ellen's data and second data call","BEVL_VMM_70000","BEL_005_MZB_LO_197","WEHAGENBEEK",51.4168515,4.642537,1989,2023,35,21
"51","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",965.708885183934,"within_100m_to_1000m","BEL_005_MZB_LO_198__BEL_005_MZB_LO_41","i","merge of Ellen's data and second data call","BEVL_VMM_173000","BEL_005_MZB_LO_41","BOVEN-SCHELDE IV",50.8934375,3.6800011,1989,2023,35,31
"52","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",965.708885183934,"within_100m_to_1000m","BEL_005_MZB_LO_198__BEL_005_MZB_LO_41","j","merge of Ellen's data and second data call","BEVL_VMM_716000","BEL_005_MZB_LO_198","ZWALM",50.8853835,3.6863154,1989,2021,33,21
"53","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",903.373732853763,"within_100m_to_1000m","BEL_005_MZB_LO_235__BEL_005_MZB_LO_237","i","merge of Ellen's data and second data call","BEVL_VMM_842700","BEL_005_MZB_LO_235","KANAAL DESSEL-KWAADMECHELEN + KANAAL DESSEL-SCHOTEN + KANAAL BOCHOLT-HERENTALS - Netebekken",51.2404947,5.1623486,1991,2011,21,10
"54","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",903.373732853763,"within_100m_to_1000m","BEL_005_MZB_LO_235__BEL_005_MZB_LO_237","j","merge of Ellen's data and second data call","BEVL_VMM_843000","BEL_005_MZB_LO_237","KANAAL DESSEL-KWAADMECHELEN + KANAAL DESSEL-SCHOTEN + KANAAL BOCHOLT-HERENTALS - Netebekken",51.2321675,5.1642112,1990,2023,34,20
"55","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",317.275042403102,"within_100m_to_1000m","BEL_005_MZB_LO_241__BEL_005_MZB_LO_52","i","merge of Ellen's data and second data call","BEVL_VMM_251500","BEL_005_MZB_LO_52","GETIJDENETES",51.1173302,4.5584441,1997,2022,26,13
"56","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",317.275042403102,"within_100m_to_1000m","BEL_005_MZB_LO_241__BEL_005_MZB_LO_52","j","merge of Ellen's data and second data call","BEVL_VMM_850000","BEL_005_MZB_LO_241","NETEKANAAL",51.1165139,4.5629537,1991,2022,32,20
"57","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",217.719888112483,"within_100m_to_1000m","BEL_005_MZB_LO_14__BEL_005_MZB_LO_243","i","merge of Ellen's data and second data call","BEVL_VMM_123000","BEL_005_MZB_LO_14","MAAS I+II+III",50.8887984,5.6823002,1989,2010,22,16
"58","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",217.719888112483,"within_100m_to_1000m","BEL_005_MZB_LO_14__BEL_005_MZB_LO_243","j","merge of Ellen's data and second data call","BEVL_VMM_856000","BEL_005_MZB_LO_243","ZUID-WILLEMSVAART + KANAAL BOCHOLT-HERENTALS (deels) + KANAAL BRIEGDEN-NEERHAREN",50.8879679,5.6793773,1993,2010,18,14
"59","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",397.620951429059,"within_100m_to_1000m","BEL_005_MZB_LO_257__BEL_005_MZB_LO_266","i","merge of Ellen's data and second data call","BEVL_VMM_913000","BEL_005_MZB_LO_257","IJZER I",50.9497655,2.7200107,1989,2022,34,24
"60","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",397.620951429059,"within_100m_to_1000m","BEL_005_MZB_LO_257__BEL_005_MZB_LO_266","j","merge of Ellen's data and second data call","BEVL_VMM_978000","BEL_005_MZB_LO_266","POPERINGEVAART",50.9468729,2.7163548,1993,2020,28,17
"61","Switzerland","Florian Altermatt","CHE_040_MZB_LO",101.940646438524,"within_100m_to_1000m","CHE_040_MZB_LO_10__CHE_040_MZB_LO_3","i","first call; data Ellen used","Aescherbach","CHE_040_MZB_LO_3","Reppisch",47.34929,8.43972,1999,2019,21,7
"62","Switzerland","Florian Altermatt","CHE_040_MZB_LO",101.940646438524,"within_100m_to_1000m","CHE_040_MZB_LO_10__CHE_040_MZB_LO_3","j","first call; data Ellen used","Wueeribach","CHE_040_MZB_LO_10","Reppisch",47.34908,8.44108,1999,2019,21,7
"63","Switzerland","Christopher Robinson","CHE_076_MZB_LO",293.541219581152,"within_100m_to_1000m","CHE_076_MZB_LO_1__CHE_076_MZB_LO_3","i","new data call","1","CHE_076_MZB_LO_1","Grond",46.7292538603,10.126757835,2001,2022,22,22
"64","Switzerland","Christopher Robinson","CHE_076_MZB_LO",293.541219581152,"within_100m_to_1000m","CHE_076_MZB_LO_1__CHE_076_MZB_LO_3","j","new data call","3","CHE_076_MZB_LO_3","Mezza-Gluna",46.7292682892,10.1307247637,2001,2022,22,22
"65","Switzerland","Christopher Robinson","CHE_076_MZB_LO",240.017161915725,"within_100m_to_1000m","CHE_076_MZB_LO_2__CHE_076_MZB_LO_3","i","new data call","2","CHE_076_MZB_LO_2","Mezza-Gluna",46.7299353673,10.1276295696,2001,2022,22,22
"66","Switzerland","Christopher Robinson","CHE_076_MZB_LO",240.017161915725,"within_100m_to_1000m","CHE_076_MZB_LO_2__CHE_076_MZB_LO_3","j","new data call","3","CHE_076_MZB_LO_3","Mezza-Gluna",46.7292682892,10.1307247637,2001,2022,22,22
