"","group","unique.id","org.site","river","latitude","longitude","st.yr","ed.yr","yr.ln","yr.num","origin","country","prov","dataset.id","distance_m","members","within_distance_type","n_in_river","max_yr_ln","n_max_ln","max_yr_num_tied","n_tied","site_sorting","tiebreaker_state","final_state"
"11",2,"ESP_034_MZB_LO_170","103000610","Deba",43.0814872,-2.4474737,2002,2019,18,18,"first call; data Ellen used","Spain","Aitor Larrañaga","ESP_034_MZB_LO",55.7588610540788,"c(""ESP_034_MZB_LO_11"", ""ESP_034_MZB_LO_170"", ""ESP_034_MZB_LO_305"")","within_100m",3,35,1,25,1,"remove","remove","remove"
"12",2,"ESP_034_MZB_LO_305","BC137","Deba",43.0814872,-2.4474737,2002,2021,20,20,"second data call; new data","Spain","Aitor Larrañaga","ESP_034_MZB_LO",55.7588610540788,"c(""ESP_034_MZB_LO_11"", ""ESP_034_MZB_LO_170"", ""ESP_034_MZB_LO_305"")","within_100m",3,35,1,25,1,"remove","remove","remove"
"13",4,"ESP_034_MZB_LO_93","103000533","Estanda",43.0504046,-2.2191363,2002,2019,18,18,"first call; data Ellen used","Spain","Aitor Larrañaga","ESP_034_MZB_LO",13.5677137796344,"c(""ESP_034_MZB_LO_25"", ""ESP_034_MZB_LO_348"", ""ESP_034_MZB_LO_93"")","within_100m",2,21,1,21,1,"remove","remove","remove"
"14",5,"ESP_034_MZB_LO_44","Gip49","Oria",43.08181,-2.152854,2003,2017,15,15,"second data call; new data","Spain","Aitor Larrañaga","ESP_034_MZB_LO",0,"c(""ESP_034_MZB_LO_138"", ""ESP_034_MZB_LO_393"", ""ESP_034_MZB_LO_44"")","within_100m",3,29,1,29,1,"remove","remove","remove"
"15",5,"ESP_034_MZB_LO_138","103000578","Oria",43.0810712,-2.1527286,1993,2019,27,27,"first call; data Ellen used","Spain","Aitor Larrañaga","ESP_034_MZB_LO",80.5646681520732,"c(""ESP_034_MZB_LO_138"", ""ESP_034_MZB_LO_393"", ""ESP_034_MZB_LO_44"")","within_100m",3,29,1,29,1,"remove","remove","remove"
"16",6,"ESP_034_MZB_LO_187","103000627","Zaldivia",43.0485376,-2.1577687,2002,2019,18,18,"first call; data Ellen used","Spain","Aitor Larrañaga","ESP_034_MZB_LO",28.2820465811965,"c(""ESP_034_MZB_LO_187"", ""ESP_034_MZB_LO_328"", ""ESP_034_MZB_LO_45"")","within_100m",2,20,1,20,1,"remove","remove","remove"
"17",7,"ESP_034_MZB_LO_87","103000527","Antzuola",43.1015275,-2.3915388,2007,2019,13,13,"first call; data Ellen used","Spain","Aitor Larrañaga","ESP_034_MZB_LO",1.32269487504275,"c(""ESP_034_MZB_LO_340"", ""ESP_034_MZB_LO_56"", ""ESP_034_MZB_LO_87"")","within_100m",2,15,1,15,1,"remove","remove","remove"
"18",10,"ESP_034_MZB_LO_99","103000539","Angiozar",43.107943,-2.4454906,2007,2019,13,12,"first call; data Ellen used","Spain","Aitor Larrañaga","ESP_034_MZB_LO",0,"c(""ESP_034_MZB_LO_353"", ""ESP_034_MZB_LO_99"")","within_100m",2,16,1,15,1,"remove","remove","remove"
"19",1,"GER_018_MZB_LO_19","RP_2651811800","Moselle",49.70988917,6.580665147,1982,1995,14,12,"first call; data Ellen used","Germany","Ralf Schäfer","GER_018_MZB_LO",0,"c(""GER_018_MZB_LO_126"", ""GER_018_MZB_LO_19"")","within_100m",2,21,1,16,1,"remove","remove","remove"
"20",2,"GER_018_MZB_LO_20","RP_2655821400","Moselle",49.78024377,6.697438905,1982,2003,22,11,"first call; data Ellen used","Germany","Ralf Schäfer","GER_018_MZB_LO",0,"c(""GER_018_MZB_LO_128"", ""GER_018_MZB_LO_20"")","within_100m",2,22,2,17,1,"remove","remove","remove"
"21",1,"GER_047_MZB_LO_14","HE_10290","Wisper",50.0749885813932,7.86615452062122,2005,2020,16,6,"new data call","Germany","HLNUG (via Thomas Wanke)","GER_047_MZB_LO",0.057594792217122,"c(""GER_047_MZB_LO_1"", ""GER_047_MZB_LO_14"")","within_100m",2,18,1,7,1,"remove","remove","remove"
"22",1,"NOR_054_MZB_LO_45","St. 4 utløp Saudlandsvatn","Farsund",58.1994906,6.76873976,2003,2020,18,13,"first call; data Ellen used","Norway","Gaute Velle","NOR_054_MZB_LO",4.15068185531505,"c(""NOR_054_MZB_LO_16"", ""NOR_054_MZB_LO_45"")","within_100m",1,18,1,13,1,"keep","keep","remove"
"23",3,"SCO_061_MZB_LO_1568","206904","Allt nan Ramh",58.2881129,-5.072397,2005,2014,10,5,"second data call; new data","Scotland","Cathy Bennett","SCO_061_MZB_LO",0,"c(""SCO_061_MZB_LO_1568"", ""SCO_061_MZB_LO_1617"")","within_100m",2,10,2,9,1,"remove","remove","remove"
"24",6,"BEL_005_MZB_LO_21","BEVL_VMM_133900","BOSBEEK",51.1036103,5.807662,1991,2009,19,16,"merge of Ellen's data and second data call","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",273.751703724779,"c(""BEL_005_MZB_LO_13"", ""BEL_005_MZB_LO_21"", ""BEL_005_MZB_LO_22"")","within_100m_to_1000m",2,21,1,15,1,"remove","remove","remove"
"25",11,"BEL_005_MZB_LO_72","BEVL_VMM_277500","KLEINE NETE L1",51.2368038,5.0828874,1994,2017,24,12,"merge of Ellen's data and second data call","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",968.683316234101,"c(""BEL_005_MZB_LO_71"", ""BEL_005_MZB_LO_72"")","within_100m_to_1000m",2,34,1,20,1,"remove","remove","remove"
"26",17,"BEL_005_MZB_LO_85","BEVL_VMM_291500","DE AA - NATTENLOOP",51.3131766,4.961406,1991,2022,32,14,"merge of Ellen's data and second data call","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",0,"c(""BEL_005_MZB_LO_85"", ""BEL_005_MZB_LO_86"")","within_100m_to_1000m",2,34,1,14,1,"remove","remove","remove"
"27",23,"BEL_005_MZB_LO_101","BEVL_VMM_308000","DESSELSE NEET",51.2479801,5.0838323,1989,2017,29,9,"merge of Ellen's data and second data call","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",755.781128164404,"c(""BEL_005_MZB_LO_101"", ""BEL_005_MZB_LO_102"", ""BEL_005_MZB_LO_103"")","within_100m_to_1000m",3,35,1,16,1,"remove","remove","remove"
"28",23,"BEL_005_MZB_LO_103","BEVL_VMM_310000","DESSELSE NEET",51.2610922,5.093088,1989,2017,29,13,"merge of Ellen's data and second data call","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",810.6877910421,"c(""BEL_005_MZB_LO_101"", ""BEL_005_MZB_LO_102"", ""BEL_005_MZB_LO_103"")","within_100m_to_1000m",3,35,1,16,1,"remove","remove","remove"
"29",26,"BEL_005_MZB_LO_106","BEVL_VMM_317000","WIMP",51.1155494,4.7981173,1989,2021,33,18,"merge of Ellen's data and second data call","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",0,"c(""BEL_005_MZB_LO_106"", ""BEL_005_MZB_LO_107"")","within_100m_to_1000m",2,33,2,19,1,"remove","remove","remove"
"30",32,"BEL_005_MZB_LO_145","BEVL_VMM_45600","WATERGANG VAN DE MOERBEKEPOLDER",51.2219466,3.9228292,1991,2005,15,10,"merge of Ellen's data and second data call","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",677.884761891873,"c(""BEL_005_MZB_LO_143"", ""BEL_005_MZB_LO_145"")","within_100m_to_1000m",2,32,1,20,1,"remove","remove","remove"
"31",46,"BEL_005_MZB_LO_235","BEVL_VMM_842700","KANAAL DESSEL-KWAADMECHELEN + KANAAL DESSEL-SCHOTEN + KANAAL BOCHOLT-HERENTALS - Netebekken",51.2404947,5.1623486,1991,2011,21,10,"merge of Ellen's data and second data call","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",0,"c(""BEL_005_MZB_LO_235"", ""BEL_005_MZB_LO_237"")","within_100m_to_1000m",2,34,1,20,1,"remove","remove","remove"
"32",1,"CZE_003_MZB_LO_57","PLA_155","Výrovka",50.1524691506685,15.014533904936,2007,2021,15,6,"second data call; new data","Czech Republic","state enterprises Povodí Moravy, Ohře, Odry, Labe, Vltavy (via Peter Paril)","CZE_003_MZB_LO",819.283095706691,"c(""CZE_003_MZB_LO_16"", ""CZE_003_MZB_LO_57"")","within_100m_to_1000m",2,15,2,7,1,"remove","remove","remove"
"33",1,"ENG_041_MZB_LO_3481","36177","Cranleigh Waters",51.116347,-0.46818106,1998,2019,22,17,"first call; data Ellen used","England","John Francis Murphy","ENG_041_MZB_LO",0,"c(""ENG_041_MZB_LO_3481"", ""ENG_041_MZB_LO_3482"")","within_100m_to_1000m",2,24,1,24,1,"remove","remove","remove"
"34",5,"ENG_041_MZB_LO_3581","67886","Wyre - Upper",53.911928,-2.7640164,1994,2019,26,25,"first call; data Ellen used","England","John Francis Murphy","ENG_041_MZB_LO",925.58129713472,"c(""ENG_041_MZB_LO_3546"", ""ENG_041_MZB_LO_3581"")","within_100m_to_1000m",2,26,2,26,1,"remove","remove","remove"
"35",6,"ENG_041_MZB_LO_3547","65114","Yarrow US Big Lodge Water",53.642314,-2.6043327,1997,2010,14,13,"first call; data Ellen used","England","John Francis Murphy","ENG_041_MZB_LO",0,"c(""ENG_041_MZB_LO_3547"", ""ENG_041_MZB_LO_3569"", ""ENG_041_MZB_LO_3587"")","within_100m_to_1000m",3,21,1,18,1,"remove","remove","remove"
"36",6,"ENG_041_MZB_LO_3587","68310","Yarrow US Big Lodge Water",53.641254,-2.618218,1994,2013,20,19,"first call; data Ellen used","England","John Francis Murphy","ENG_041_MZB_LO",895.145824618533,"c(""ENG_041_MZB_LO_3547"", ""ENG_041_MZB_LO_3569"", ""ENG_041_MZB_LO_3587"")","within_100m_to_1000m",3,21,1,18,1,"remove","remove","remove"
"37",8,"ENG_041_MZB_LO_3571","67595","Etherow (Woodhead Res. to Glossop Bk.)",53.465304,-1.9805152,1997,2018,22,19,"first call; data Ellen used","England","John Francis Murphy","ENG_041_MZB_LO",772.105920366327,"c(""ENG_041_MZB_LO_3554"", ""ENG_041_MZB_LO_3571"")","within_100m_to_1000m",2,24,1,23,1,"remove","remove","remove"
"38",19,"ENG_041_MZB_LO_3596","69403","Bollin (Source to Dean)",53.245687,-2.1215382,1995,2014,20,17,"first call; data Ellen used","England","John Francis Murphy","ENG_041_MZB_LO",880.793685432439,"c(""ENG_041_MZB_LO_3585"", ""ENG_041_MZB_LO_3596"")","within_100m_to_1000m",2,22,1,18,1,"remove","remove","remove"
"39",26,"ENG_041_MZB_LO_3697","55792","Glen",52.751867,-0.2960981,1995,2016,22,22,"first call; data Ellen used","England","John Francis Murphy","ENG_041_MZB_LO",136.677900193068,"c(""ENG_041_MZB_LO_3671"", ""ENG_041_MZB_LO_3697"")","within_100m_to_1000m",2,25,1,24,1,"remove","remove","remove"
"40",1,"ENG_042_MZB_LO_16","81318","MIMRAM",51.843319,-0.244648,2005,2017,13,13,"first call; data Ellen used","England","Judy England","ENG_042_MZB_LO",522.63519523809,"c(""ENG_042_MZB_LO_14"", ""ENG_042_MZB_LO_16"")","within_100m_to_1000m",2,16,1,16,1,"remove","remove","remove"
"41",4,"ENG_042_MZB_LO_22","33751","VER",51.788822,-0.387395,2008,2017,10,10,"first call; data Ellen used","England","Judy England","ENG_042_MZB_LO",0,"c(""ENG_042_MZB_LO_21"", ""ENG_042_MZB_LO_22"", ""ENG_042_MZB_LO_26"")","within_100m_to_1000m",3,13,1,13,1,"remove","remove","remove"
"42",4,"ENG_042_MZB_LO_26","34116","VER",51.783943,-0.378507,2006,2017,12,12,"first call; data Ellen used","England","Judy England","ENG_042_MZB_LO",791.000313769487,"c(""ENG_042_MZB_LO_21"", ""ENG_042_MZB_LO_22"", ""ENG_042_MZB_LO_26"")","within_100m_to_1000m",3,13,1,13,1,"remove","remove","remove"
"43",1,"ENG_062_MZB_LO_274","1484","BLACK BROOK",53.6552725636,-1.9108895489,2002,2014,13,5,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",834.362719703889,"c(""ENG_062_MZB_LO_13"", ""ENG_062_MZB_LO_274"")","within_100m_to_1000m",2,14,1,11,1,"remove","remove","remove"
"44",3,"ENG_062_MZB_LO_182","1150","CALDER",53.7408356849,-2.0173388056,2004,2020,17,5,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",649.285613623483,"c(""ENG_062_MZB_LO_115"", ""ENG_062_MZB_LO_18"", ""ENG_062_MZB_LO_182"")","within_100m_to_1000m",2,19,1,9,1,"remove","remove","remove"
"45",8,"ENG_062_MZB_LO_283","1585","EWDEN BECK",53.4567124079,-1.5628362866,2002,2018,17,14,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",695.67248896385,"c(""ENG_062_MZB_LO_283"", ""ENG_062_MZB_LO_3100"", ""ENG_062_MZB_LO_40"")","within_100m_to_1000m",2,21,1,19,1,"remove","remove","remove"
"46",12,"ENG_062_MZB_LO_262","1445","SHIRE BROOK",53.3510213356,-1.3638590318,2004,2016,13,5,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",996.891485664713,"c(""ENG_062_MZB_LO_262"", ""ENG_062_MZB_LO_75"")","within_100m_to_1000m",2,15,1,7,1,"remove","remove","remove"
"47",20,"ENG_062_MZB_LO_3307","150447","ESHTON/ WINTERBURN/ HETTON/ FLASBY  BECKS",53.9884808275,-2.0895986142,2008,2018,11,6,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",314.717775174551,"c(""ENG_062_MZB_LO_168"", ""ENG_062_MZB_LO_3307"")","within_100m_to_1000m",2,15,1,13,1,"remove","remove","remove"
"48",36,"ENG_062_MZB_LO_229","1346","RUSHYFORD BECK",54.6435539319,-1.5413198857,2002,2016,15,5,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",0,"c(""ENG_062_MZB_LO_229"", ""ENG_062_MZB_LO_271"")","within_100m_to_1000m",2,17,1,5,1,"remove","remove","remove"
"49",53,"ENG_062_MZB_LO_290","1608","HOLME",53.5591306279,-1.8132074592,2002,2015,14,12,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",0,"c(""ENG_062_MZB_LO_253"", ""ENG_062_MZB_LO_281"", ""ENG_062_MZB_LO_282"", ""ENG_062_MZB_LO_290"")","within_100m_to_1000m",2,16,1,13,1,"remove","remove","remove"
"50",83,"ENG_062_MZB_LO_388","1826","WEAR",54.8644077451,-1.5584195361,2003,2014,12,7,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",845.284364241405,"c(""ENG_062_MZB_LO_3088"", ""ENG_062_MZB_LO_388"", ""ENG_062_MZB_LO_394"", ""ENG_062_MZB_LO_395"")","within_100m_to_1000m",2,22,1,8,1,"remove","remove","remove"
"51",93,"ENG_062_MZB_LO_3335","154079","TEES",54.6995679868,-2.3677935288,2011,2024,14,7,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",311.377412021055,"c(""ENG_062_MZB_LO_3335"", ""ENG_062_MZB_LO_430"")","within_100m_to_1000m",2,18,1,13,1,"remove","remove","remove"
"52",100,"ENG_062_MZB_LO_654","9406","AXE (DEVON)",50.7465421647,-3.0486783544,2002,2022,21,7,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",947.412529403714,"c(""ENG_062_MZB_LO_463"", ""ENG_062_MZB_LO_654"")","within_100m_to_1000m",2,22,1,19,1,"remove","remove","remove"
"53",103,"ENG_062_MZB_LO_505","8350","BRUE",51.1065839875,-2.463894187,2003,2023,21,5,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",899.09432131123,"c(""ENG_062_MZB_LO_503"", ""ENG_062_MZB_LO_505"")","within_100m_to_1000m",2,21,2,14,1,"remove","remove","remove"
"54",105,"ENG_062_MZB_LO_508","8509","MOORS",50.8417304871,-1.8579160132,2003,2017,15,9,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",916.416307955292,"c(""ENG_062_MZB_LO_507"", ""ENG_062_MZB_LO_508"")","within_100m_to_1000m",2,21,1,10,1,"remove","remove","remove"
"55",120,"ENG_062_MZB_LO_586","9115","HAMPSHIRE AVON (EASTERN)",51.3322730977,-1.7815374891,2002,2013,12,9,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",0,"c(""ENG_062_MZB_LO_586"", ""ENG_062_MZB_LO_587"")","within_100m_to_1000m",2,21,1,8,1,"remove","remove","remove"
"56",131,"ENG_062_MZB_LO_609","9182","EBBLE",51.0243373403,-1.9567821012,2002,2013,12,5,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",988.883792485845,"c(""ENG_062_MZB_LO_606"", ""ENG_062_MZB_LO_609"")","within_100m_to_1000m",2,13,1,10,1,"remove","remove","remove"
"57",133,"ENG_062_MZB_LO_3352","154697","DART",50.4589393794,-3.7210650597,2010,2023,14,9,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",455.716350062866,"c(""ENG_062_MZB_LO_3352"", ""ENG_062_MZB_LO_622"")","within_100m_to_1000m",2,16,1,12,1,"remove","remove","remove"
"58",153,"ENG_062_MZB_LO_3148","78516","FOWEY",50.4558133976,-4.5564460973,2002,2014,13,5,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",936.853634717214,"c(""ENG_062_MZB_LO_3148"", ""ENG_062_MZB_LO_779"")","within_100m_to_1000m",2,22,1,10,1,"remove","remove","remove"
"59",157,"ENG_062_MZB_LO_3142","77976","RED RIVER",50.2294194703,-5.3014355208,2002,2012,11,5,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",358.754233247547,"c(""ENG_062_MZB_LO_3142"", ""ENG_062_MZB_LO_802"")","within_100m_to_1000m",2,13,1,7,1,"remove","remove","remove"
"60",161,"ENG_062_MZB_LO_824","10924","BRIT",50.7329405232,-2.7634952903,2003,2015,13,6,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",284.193030859914,"c(""ENG_062_MZB_LO_821"", ""ENG_062_MZB_LO_824"", ""ENG_062_MZB_LO_829"")","within_100m_to_1000m",2,22,1,7,1,"remove","remove","remove"
"61",170,"ENG_062_MZB_LO_845","33407","MIMRAM",51.8299693543,-0.2151309783,2014,2023,10,10,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",0,"c(""ENG_062_MZB_LO_3431"", ""ENG_062_MZB_LO_3432"", ""ENG_062_MZB_LO_845"", ""ENG_062_MZB_LO_846"")","within_100m_to_1000m",4,19,1,18,1,"remove","remove","remove"
"62",170,"ENG_062_MZB_LO_3431","178969","MIMRAM",51.8290989133,-0.2075607759,2009,2023,15,12,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",512.618961935908,"c(""ENG_062_MZB_LO_3431"", ""ENG_062_MZB_LO_3432"", ""ENG_062_MZB_LO_845"", ""ENG_062_MZB_LO_846"")","within_100m_to_1000m",4,19,1,18,1,"remove","remove","remove"
"63",170,"ENG_062_MZB_LO_3432","178970","MIMRAM",51.8263855623,-0.2071170145,2009,2024,16,13,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",658.028360245644,"c(""ENG_062_MZB_LO_3431"", ""ENG_062_MZB_LO_3432"", ""ENG_062_MZB_LO_845"", ""ENG_062_MZB_LO_846"")","within_100m_to_1000m",4,19,1,18,1,"remove","remove","remove"
"64",171,"ENG_062_MZB_LO_845","33407","MIMRAM",51.8299693543,-0.2151309783,2014,2023,10,10,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",898.972344129414,"c(""ENG_062_MZB_LO_3442"", ""ENG_062_MZB_LO_845"", ""ENG_062_MZB_LO_846"")","within_100m_to_1000m",3,19,1,18,1,"remove","remove","remove"
"65",171,"ENG_062_MZB_LO_3442","179285","MIMRAM",51.8366365137,-0.2320675873,2014,2023,10,10,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",746.580037414215,"c(""ENG_062_MZB_LO_3442"", ""ENG_062_MZB_LO_845"", ""ENG_062_MZB_LO_846"")","within_100m_to_1000m",3,19,1,18,1,"remove","remove","remove"
"66",173,"ENG_062_MZB_LO_3432","178970","MIMRAM",51.8263855623,-0.2071170145,2009,2024,16,13,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",874.008382201469,"c(""ENG_062_MZB_LO_3432"", ""ENG_062_MZB_LO_3433"", ""ENG_062_MZB_LO_858"")","within_100m_to_1000m",3,22,1,12,1,"remove","remove","remove"
"67",173,"ENG_062_MZB_LO_3433","178972","MIMRAM",51.8186102451,-0.1967177792,2014,2023,10,10,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",211.244521842693,"c(""ENG_062_MZB_LO_3432"", ""ENG_062_MZB_LO_3433"", ""ENG_062_MZB_LO_858"")","within_100m_to_1000m",3,22,1,12,1,"remove","remove","remove"
"68",174,"ENG_062_MZB_LO_867","33751","VER",51.788828843,-0.3873711119,2002,2023,22,19,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",592.384504135149,"c(""ENG_062_MZB_LO_866"", ""ENG_062_MZB_LO_867"", ""ENG_062_MZB_LO_868"")","within_100m_to_1000m",2,22,2,22,1,"remove","remove","remove"
"69",175,"ENG_062_MZB_LO_867","33751","VER",51.788828843,-0.3873711119,2002,2023,22,19,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",0,"c(""ENG_062_MZB_LO_866"", ""ENG_062_MZB_LO_867"", ""ENG_062_MZB_LO_918"")","within_100m_to_1000m",3,22,2,22,1,"remove","remove","remove"
"70",175,"ENG_062_MZB_LO_918","34116","VER",51.7839497657,-0.3784840042,2006,2023,18,18,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",790.961228243763,"c(""ENG_062_MZB_LO_866"", ""ENG_062_MZB_LO_867"", ""ENG_062_MZB_LO_918"")","within_100m_to_1000m",3,22,2,22,1,"remove","remove","remove"
"71",177,"ENG_062_MZB_LO_910","34080","SALMON BROOK",51.6190111085,-0.0426323153,2004,2014,11,6,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",383.376191588593,"c(""ENG_062_MZB_LO_869"", ""ENG_062_MZB_LO_910"")","within_100m_to_1000m",2,22,1,8,1,"remove","remove","remove"
"72",193,"ENG_062_MZB_LO_927","34165","CHESS",51.6783229289,-0.5304867891,2003,2021,19,7,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",0,"c(""ENG_062_MZB_LO_927"", ""ENG_062_MZB_LO_963"")","within_100m_to_1000m",2,23,1,23,1,"remove","remove","remove"
"73",194,"ENG_062_MZB_LO_3182","81318","MIMRAM",51.8433258022,-0.2446241504,2002,2023,22,21,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",522.6208570839,"c(""ENG_062_MZB_LO_3182"", ""ENG_062_MZB_LO_3430"", ""ENG_062_MZB_LO_929"")","within_100m_to_1000m",3,22,2,22,1,"remove","remove","remove"
"74",194,"ENG_062_MZB_LO_3430","178965","MIMRAM",51.8517521285,-0.2616329294,2014,2023,10,10,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",989.909736412866,"c(""ENG_062_MZB_LO_3182"", ""ENG_062_MZB_LO_3430"", ""ENG_062_MZB_LO_929"")","within_100m_to_1000m",3,22,2,22,1,"remove","remove","remove"
"75",199,"ENG_062_MZB_LO_875","33842","CHESS",51.6938199208,-0.5977406679,2002,2018,17,5,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",793.851305261089,"c(""ENG_062_MZB_LO_875"", ""ENG_062_MZB_LO_961"", ""ENG_062_MZB_LO_962"")","within_100m_to_1000m",3,22,1,21,1,"remove","remove","remove"
"76",199,"ENG_062_MZB_LO_962","34307","CHESS",51.6868205512,-0.5832015464,2003,2022,20,8,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",458.621518233099,"c(""ENG_062_MZB_LO_875"", ""ENG_062_MZB_LO_961"", ""ENG_062_MZB_LO_962"")","within_100m_to_1000m",3,22,1,21,1,"remove","remove","remove"
"77",202,"ENG_062_MZB_LO_3116","76077","BULBOURNE",51.7770121506,-0.5990910436,2003,2023,21,12,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",965.865349901798,"c(""ENG_062_MZB_LO_3116"", ""ENG_062_MZB_LO_969"")","within_100m_to_1000m",2,22,1,15,1,"remove","remove","remove"
