"unique.id","tiebreaker_state"
"GER_047_MZB_LO_3","keep"
"GER_047_MZB_LO_23","remove"
"GER_070_MZB_LO_117","keep"
"GER_070_MZB_LO_118","remove"
"GER_070_MZB_LO_139","remove"
"GER_070_MZB_LO_141","keep"
"GER_070_MZB_LO_142","remove"
"GER_070_MZB_LO_140","remove"
"GER_070_MZB_LO_143","keep"
"GER_070_MZB_LO_392","keep"
"GER_070_MZB_LO_410","remove"
"GER_071_MZB_LO_3","keep"
"GER_071_MZB_LO_4","remove"
"GER_071_MZB_LO_5","remove"
"GER_071_MZB_LO_6","keep"
"GER_071_MZB_LO_7","remove"
"GER_071_MZB_LO_8","keep"
"GER_071_MZB_LO_11","remove"
"GER_071_MZB_LO_12","remove"
"GER_072_MZB_LO_14","remove"
"GER_072_MZB_LO_15","keep"
"GER_072_MZB_LO_16","remove"
"GER_072_MZB_LO_17","keep"
"GER_072_MZB_LO_20","remove"
"GER_072_MZB_LO_21","keep"
"GER_072_MZB_LO_1","remove"
"GER_072_MZB_LO_2","keep"
"GER_072_MZB_LO_3","remove"
"GER_072_MZB_LO_4","keep"
"GER_072_MZB_LO_5","remove"
"GER_072_MZB_LO_6","keep"
"GER_072_MZB_LO_9","remove"
"GER_072_MZB_LO_10","keep"
"GER_072_MZB_LO_12","remove"
"GER_072_MZB_LO_13","keep"
"GER_072_MZB_LO_18","remove"
"GER_072_MZB_LO_19","keep"
"GER_073_MZB_LO_55","keep"
"GER_073_MZB_LO_56","remove"
"GER_073_MZB_LO_59","keep"
"GER_073_MZB_LO_60","remove"
"HUN_022_MZB_LO_22","keep"
"HUN_022_MZB_LO_54","remove"
"IRL_023_MZB_LO_3","keep"
"IRL_023_MZB_LO_4","remove"
"IRL_023_MZB_LO_11","keep"
"IRL_023_MZB_LO_12","remove"
"IRL_051_MZB_LO_1284","keep"
"IRL_051_MZB_LO_1285","remove"
"IRL_051_MZB_LO_71","keep"
"IRL_051_MZB_LO_72","remove"
"IRL_051_MZB_LO_238","remove"
"IRL_051_MZB_LO_239","keep"
"IRL_051_MZB_LO_241","keep"
"IRL_051_MZB_LO_242","remove"
"IRL_051_MZB_LO_369","keep"
"IRL_051_MZB_LO_370","remove"
"IRL_051_MZB_LO_371","remove"
"IRL_051_MZB_LO_477","remove"
"IRL_051_MZB_LO_478","keep"
"IRL_051_MZB_LO_853","remove"
"IRL_051_MZB_LO_854","keep"
"IRL_051_MZB_LO_873","remove"
"IRL_051_MZB_LO_874","keep"
"IRL_051_MZB_LO_1032","keep"
"IRL_051_MZB_LO_1033","remove"
"IRL_051_MZB_LO_1349","keep"
"IRL_051_MZB_LO_1350","remove"
"IRL_051_MZB_LO_1422","keep"
"IRL_051_MZB_LO_1423","remove"
"IRL_051_MZB_LO_1634","remove"
"IRL_051_MZB_LO_1635","keep"
"NOR_054_MZB_LO_42","keep"
"NOR_054_MZB_LO_43","remove"
"NOR_054_MZB_LO_44","remove"
"NOR_054_MZB_LO_46","keep"
"NOR_054_MZB_LO_47","remove"
"NOR_054_MZB_LO_48","remove"
"NOR_054_MZB_LO_49","keep"
"NOR_054_MZB_LO_53","keep"
"NOR_054_MZB_LO_58","remove"
"NOR_054_MZB_LO_59","keep"
"NOR_054_MZB_LO_80","remove"
"NOR_054_MZB_LO_81","keep"
"NOR_054_MZB_LO_54","keep"
"NOR_054_MZB_LO_55","keep"
"NOR_054_MZB_LO_56","keep"
"NOR_054_MZB_LO_57","remove"
"NOR_054_MZB_LO_63","keep"
"NOR_054_MZB_LO_67","keep"
"NOR_054_MZB_LO_65","keep"
"NOR_054_MZB_LO_68","keep"
"NOR_054_MZB_LO_71","keep"
"NOR_054_MZB_LO_72","keep"
"NOR_054_MZB_LO_75","remove"
"NOR_054_MZB_LO_76","keep"
"NOR_054_MZB_LO_82","keep"
"NOR_054_MZB_LO_83","remove"
