site,sample_id,country,river,latitude,longitude,year,month,day,eqr,eqc
14,14_2542014,greece,Pamisos,37.16907112,22.02451204,2014,4,25,1,1
14,14_1572014,greece,Pamisos,37.16907112,22.02451204,2014,7,15,0.667,3
14,14_1542015,greece,Pamisos,37.16907112,22.02451204,2015,4,15,0.667,3
14,14_772015,greece,Pamisos,37.16907112,22.02451204,2015,7,7,0.667,3
14,14_2242018,greece,Pamisos,37.16907112,22.02451204,2018,4,22,1,1
14,14_3182018,greece,Pamisos,37.16907112,22.02451204,2018,8,31,1,1
14,14_1542019,greece,Pamisos,37.16907112,22.02451204,2019,4,15,0.89,2
14,14_1962019,greece,Pamisos,37.16907112,22.02451204,2019,6,19,1,1
14,14_2372020,greece,Pamisos,37.16907112,22.02451204,2020,7,23,0.67,3
14,14_1342021,greece,Pamisos,37.16907112,22.02451204,2021,4,13,0.89,2
14,14_362021,greece,Pamisos,37.16907112,22.02451204,2021,6,3,0.44,4
14,14_1552022,greece,Pamisos,37.16907112,22.02451204,2022,5,15,0.67,3
14,14_2162022,greece,Pamisos,37.16907112,22.02451204,2022,6,21,0.56,3
14,14_2932023,greece,Pamisos,37.16907112,22.02451204,2023,3,29,0.89,2
14,14_1362023,greece,Pamisos,37.16907112,22.02451204,2023,6,13,0.444444444,4
15,15_2242013,greece,Louros,39.27126351,20.84748657,2013,4,22,0.9,1
15,15_13102013,greece,Louros,39.27126351,20.84748657,2013,10,13,0.9,1
15,15_2842018,greece,Louros,39.27126351,20.84748657,2018,4,28,1,1
15,15_292018,greece,Louros,39.27126351,20.84748657,2018,9,2,1,1
15,15_1842019,greece,Louros,39.27126351,20.84748657,2019,4,18,1,1
15,15_2272019,greece,Louros,39.27126351,20.84748657,2019,7,22,1,1
15,15_572020,greece,Louros,39.27126351,20.84748657,2020,7,5,0.9,1
15,15_2142021,greece,Louros,39.27126351,20.84748657,2021,4,21,0.9,1
15,15_672021,greece,Louros,39.27126351,20.84748657,2021,7,6,0.9,1
15,15_1042022,greece,Louros,39.27126351,20.84748657,2022,4,10,0.9,1
15,15_772022,greece,Louros,39.27126351,20.84748657,2022,7,7,0.9,1
15,15_442023,greece,Louros,39.27126351,20.84748657,2023,4,4,1,1
15,15_872023,greece,Louros,39.27126351,20.84748657,2023,7,8,0.8,2
18,18_1042013,greece,Agrilias ,38.38216987,21.45569016,2013,4,10,0.6,3
18,18_2392013,greece,Agrilias ,38.38216987,21.45569016,2013,9,23,0.7,2
18,18_242014,greece,Agrilias ,38.38216987,21.45569016,2014,4,2,0.6,3
18,18_1572014,greece,Agrilias ,38.38216987,21.45569016,2014,7,15,0.2,5
18,18_2442015,greece,Agrilias ,38.38216987,21.45569016,2015,4,24,0.9,2
18,18_252018,greece,Agrilias ,38.38216987,21.45569016,2018,5,2,0.8,2
18,18_1742019,greece,Agrilias ,38.38216987,21.45569016,2019,4,17,0.9,2
18,18_1942021,greece,Agrilias ,38.38216987,21.45569016,2021,4,19,0.5,3
18,18_572021,greece,Agrilias ,38.38216987,21.45569016,2021,7,5,0.4,4
18,18_1442022,greece,Agrilias ,38.38216987,21.45569016,2022,4,14,0.6,3
18,18_2942023,greece,Agrilias ,38.38216987,21.45569016,2023,4,29,0.5,3
18,18_772023,greece,Agrilias ,38.38216987,21.45569016,2023,7,7,0.4,4
21,21_1042013,greece,Agrilias ,38.42163056,21.45882968,2013,4,10,0.7,2
21,21_242014,greece,Agrilias ,38.42163056,21.45882968,2014,4,2,0.7,2
21,21_1572014,greece,Agrilias ,38.42163056,21.45882968,2014,7,15,0.7,2
21,21_2442015,greece,Agrilias ,38.42163056,21.45882968,2015,4,24,0.7,2
21,21_252018,greece,Agrilias ,38.42163056,21.45882968,2018,5,2,0.9,2
21,21_1742019,greece,Agrilias ,38.42163056,21.45882968,2019,4,17,1,1
21,21_1942021,greece,Agrilias ,38.42163056,21.45882968,2021,4,19,0.7,2
21,21_1442022,greece,Agrilias ,38.42163056,21.45882968,2022,4,14,0.7,2
21,21_2942023,greece,Agrilias ,38.42163056,21.45882968,2023,4,29,0.7,2
25,25_342014,greece,Xirias Almyrou ,39.18198732,22.77727457,2014,4,3,0.667,3
25,25_352018,greece,Xirias Almyrou ,39.18198732,22.77727457,2018,5,3,0.78,2
25,25_1092018,greece,Xirias Almyrou ,39.18198732,22.77727457,2018,9,10,0.78,2
25,25_3152019,greece,Xirias Almyrou ,39.18198732,22.77727457,2019,5,31,0.78,2
25,25_192019,greece,Xirias Almyrou ,39.18198732,22.77727457,2019,9,1,0.67,3
25,25_2882020,greece,Xirias Almyrou ,39.18198732,22.77727457,2020,8,28,0.78,2
25,25_3182021,greece,Xirias Almyrou ,39.18198732,22.77727457,2021,8,31,0.33,4
25,25_2452022,greece,Xirias Almyrou ,39.18198732,22.77727457,2022,5,24,0.44,4
25,25_3082022,greece,Xirias Almyrou ,39.18198732,22.77727457,2022,8,30,0.44,4
29,29_182012,greece,Amygdalorrema ,41.136423,25.535138,2012,8,1,0.667,3
29,29_842013,greece,Amygdalorrema ,41.136423,25.535138,2013,4,8,1,1
29,29_2372013,greece,Amygdalorrema ,41.136423,25.535138,2013,7,23,0.222,5
29,29_1442014,greece,Amygdalorrema ,41.136423,25.535138,2014,4,14,0.667,3
29,29_272014,greece,Amygdalorrema ,41.136423,25.535138,2014,7,2,0.556,3
29,29_1392015,greece,Amygdalorrema ,41.136423,25.535138,2015,9,13,0.667,3
29,29_2052018,greece,Amygdalorrema ,41.136423,25.535138,2018,5,20,0.67,3
29,29_2092018,greece,Amygdalorrema ,41.136423,25.535138,2018,9,20,0.44,4
29,29_852019,greece,Amygdalorrema ,41.136423,25.535138,2019,5,8,1,1
29,29_2492019,greece,Amygdalorrema ,41.136423,25.535138,2019,9,24,0.78,2
29,29_792020,greece,Amygdalorrema ,41.136423,25.535138,2020,9,7,0.67,3
29,29_1552021,greece,Amygdalorrema ,41.136423,25.535138,2021,5,15,0.33,4
29,29_592021,greece,Amygdalorrema ,41.136423,25.535138,2021,9,5,0.22,5
29,29_1752022,greece,Amygdalorrema ,41.136423,25.535138,2022,5,17,0.56,3
29,29_992022,greece,Amygdalorrema ,41.136423,25.535138,2022,9,9,0.44,4
29,29_952023,greece,Amygdalorrema ,41.136423,25.535138,2023,5,9,0.89,2
29,29_12102023,greece,Amygdalorrema ,41.136423,25.535138,2023,10,12,0.666666667,3
30,30_842014,greece,Aliakmonas,40.660245,21.64816,2014,4,8,0.4,4
30,30_1972014,greece,Aliakmonas,40.660245,21.64816,2014,7,19,0.4,4
30,30_1552018,greece,Aliakmonas,40.660245,21.64816,2018,5,15,0.7,2
30,30_1692018,greece,Aliakmonas,40.660245,21.64816,2018,9,16,0.9,1
30,30_762019,greece,Aliakmonas,40.660245,21.64816,2019,6,7,0.7,2
30,30_492019,greece,Aliakmonas,40.660245,21.64816,2019,9,4,0.9,1
30,30_292020,greece,Aliakmonas,40.660245,21.64816,2020,9,2,0.7,2
30,30_1352021,greece,Aliakmonas,40.660245,21.64816,2021,5,13,0.6,3
30,30_1452022,greece,Aliakmonas,40.660245,21.64816,2022,5,14,0.4,4
30,30_2982022,greece,Aliakmonas,40.660245,21.64816,2022,8,29,0.6,3
30,30_1152023,greece,Aliakmonas,40.660245,21.64816,2023,5,11,0.3,4
31,31_1452015,greece,Anapodiaris,34.99905002,25.32956581,2015,5,14,0.6,3
31,31_762019,greece,Anapodiaris,34.99905002,25.32956581,2019,6,7,0.6,3
31,31_242022,greece,Anapodiaris,34.99905002,25.32956581,2022,4,2,0.5,3
34,34_442013,greece,Anthemountas,40.516981,22.991656,2013,4,4,0.222,5
34,34_2052018,greece,Anthemountas,40.516981,22.991656,2018,5,20,0.33,4
34,34_1892018,greece,Anthemountas,40.516981,22.991656,2018,9,18,0.44,4
34,34_2452019,greece,Anthemountas,40.516981,22.991656,2019,5,24,0.33,4
34,34_1992019,greece,Anthemountas,40.516981,22.991656,2019,9,19,0.67,3
34,34_192021,greece,Anthemountas,40.516981,22.991656,2021,9,1,0.22,5
34,34_1342022,greece,Anthemountas,40.516981,22.991656,2022,4,13,0.22,5
34,34_392022,greece,Anthemountas,40.516981,22.991656,2022,9,3,0.22,5
34,34_2692023,greece,Anthemountas,40.516981,22.991656,2023,9,26,0.222222222,4
36,36_372012,greece,Alfeios,37.39018312,22.08634712,2012,7,3,0.5,3
36,36_1342013,greece,Alfeios,37.39018312,22.08634712,2013,4,13,0.6,3
36,36_2672013,greece,Alfeios,37.39018312,22.08634712,2013,7,26,0.6,3
36,36_1442014,greece,Alfeios,37.39018312,22.08634712,2014,4,14,0.6,3
36,36_1772014,greece,Alfeios,37.39018312,22.08634712,2014,7,17,0.7,2
36,36_3132015,greece,Alfeios,37.39018312,22.08634712,2015,3,31,0.7,2
36,36_372015,greece,Alfeios,37.39018312,22.08634712,2015,7,3,0.6,3
36,36_2072019,greece,Alfeios,37.39018312,22.08634712,2019,7,20,1,1
36,36_272020,greece,Alfeios,37.39018312,22.08634712,2020,7,2,0.67,3
36,36_1542021,greece,Alfeios,37.39018312,22.08634712,2021,4,15,0.78,2
36,36_3062021,greece,Alfeios,37.39018312,22.08634712,2021,6,30,0.67,3
36,36_742022,greece,Alfeios,37.39018312,22.08634712,2022,4,7,0.78,2
36,36_372022,greece,Alfeios,37.39018312,22.08634712,2022,7,3,0.67,3
36,36_3132023,greece,Alfeios,37.39018312,22.08634712,2023,3,31,0.67,3
36,36_372023,greece,Alfeios,37.39018312,22.08634712,2023,7,3,0.555555556,3
37,37_2882015,greece,Evros,40.877654,25.898887,2015,8,28,0.667,3
37,37_2152018,greece,Evros,40.877654,25.898887,2018,5,21,1,1
37,37_2092018,greece,Evros,40.877654,25.898887,2018,9,20,0.56,3
37,37_2352019,greece,Evros,40.877654,25.898887,2019,5,23,0.78,2
37,37_2492019,greece,Evros,40.877654,25.898887,2019,9,24,0.78,2
37,37_1352021,greece,Evros,40.877654,25.898887,2021,5,13,0.67,3
37,37_1552022,greece,Evros,40.877654,25.898887,2022,5,15,0.67,3
37,37_1752023,greece,Evros,40.877654,25.898887,2023,5,17,0.56,3
41,41_842014,greece,Arapitsa,40.659928,22.134234,2014,4,8,0.556,3
41,41_2072014,greece,Arapitsa,40.659928,22.134234,2014,7,20,0.444,4
41,41_252018,greece,Arapitsa,40.659928,22.134234,2018,5,2,0.78,2
41,41_1792018,greece,Arapitsa,40.659928,22.134234,2018,9,17,0.89,2
41,41_1252019,greece,Arapitsa,40.659928,22.134234,2019,5,12,0.78,2
41,41_592019,greece,Arapitsa,40.659928,22.134234,2019,9,5,0.89,2
41,41_292020,greece,Arapitsa,40.659928,22.134234,2020,9,2,0.67,3
41,41_1552021,greece,Arapitsa,40.659928,22.134234,2021,5,15,0.78,2
41,41_3082021,greece,Arapitsa,40.659928,22.134234,2021,8,30,0.67,3
41,41_1652022,greece,Arapitsa,40.659928,22.134234,2022,5,16,0.56,3
41,41_3082022,greece,Arapitsa,40.659928,22.134234,2022,8,30,0.56,3
41,41_1352023,greece,Arapitsa,40.659928,22.134234,2023,5,13,0.56,3
41,41_2492023,greece,Arapitsa,40.659928,22.134234,2023,9,24,0.67,3
49,49_272012,greece,Pamisos,37.081972,22.02721384,2012,7,2,0.444,4
49,49_1242013,greece,Pamisos,37.081972,22.02721384,2013,4,12,0.667,3
49,49_2972013,greece,Pamisos,37.081972,22.02721384,2013,7,29,0.667,3
49,49_2542014,greece,Pamisos,37.081972,22.02721384,2014,4,25,0.667,3
49,49_1472014,greece,Pamisos,37.081972,22.02721384,2014,7,14,0.667,3
49,49_1442015,greece,Pamisos,37.081972,22.02721384,2015,4,14,0.444,4
49,49_382015,greece,Pamisos,37.081972,22.02721384,2015,8,3,0.667,3
50,50_2142013,greece,Arachthos,39.165325,20.99377222,2013,4,21,0.444,4
50,50_12102013,greece,Arachthos,39.165325,20.99377222,2013,10,12,0.556,3
50,50_2842018,greece,Arachthos,39.165325,20.99377222,2018,4,28,0.78,2
50,50_2102018,greece,Arachthos,39.165325,20.99377222,2018,10,2,0.78,2
50,50_1842019,greece,Arachthos,39.165325,20.99377222,2019,4,18,0.78,2
50,50_2472019,greece,Arachthos,39.165325,20.99377222,2019,7,24,0.78,2
50,50_672020,greece,Arachthos,39.165325,20.99377222,2020,7,6,0.56,3
50,50_2142021,greece,Arachthos,39.165325,20.99377222,2021,4,21,0.56,3
50,50_1072021,greece,Arachthos,39.165325,20.99377222,2021,7,10,0.44,4
50,50_742022,greece,Arachthos,39.165325,20.99377222,2022,4,7,0.44,4
50,50_572022,greece,Arachthos,39.165325,20.99377222,2022,7,5,0.44,4
50,50_552023,greece,Arachthos,39.165325,20.99377222,2023,5,5,0.44,4
50,50_1772023,greece,Arachthos,39.165325,20.99377222,2023,7,17,0.444444444,4
53,53_342013,greece,Asprolakkas,40.462724,23.778663,2013,4,3,1,
53,53_1672013,greece,Asprolakkas,40.462724,23.778663,2013,7,16,0.556,
53,53_1542014,greece,Asprolakkas,40.462724,23.778663,2014,4,15,0.778,
53,53_1952018,greece,Asprolakkas,40.462724,23.778663,2018,5,19,1.11,
53,53_2352019,greece,Asprolakkas,40.462724,23.778663,2019,5,23,0.89,
53,53_2852021,greece,Asprolakkas,40.462724,23.778663,2021,5,28,0.78,
53,53_1342022,greece,Asprolakkas,40.462724,23.778663,2022,4,13,0.89,
53,53_2752023,greece,Asprolakkas,40.462724,23.778663,2023,5,27,0.56,
54,54_2632015,greece,Rema Xanthis - Xirorema,41.038949,25.209137,2015,3,26,0.444,
54,54_1292015,greece,Rema Xanthis - Xirorema,41.038949,25.209137,2015,9,12,0.444,
54,54_2052018,greece,Rema Xanthis - Xirorema,41.038949,25.209137,2018,5,20,0.67,
54,54_2152019,greece,Rema Xanthis - Xirorema,41.038949,25.209137,2019,5,21,0.56,
56,56_2042013,greece,Asopos Viot.,38.29205,23.70917,2013,4,20,0.4,
56,56_2842014,greece,Asopos Viot.,38.29205,23.70917,2014,4,28,0.4,
56,56_552015,greece,Asopos Viot.,38.29205,23.70917,2015,5,5,0.4,
56,56_2952019,greece,Asopos Viot.,38.29205,23.70917,2019,5,29,0.5,
56,56_1052022,greece,Asopos Viot.,38.29205,23.70917,2022,5,10,0.2,
56,56_1052023,greece,Asopos Viot.,38.29205,23.70917,2023,5,10,0.4,
61,61_392012,greece,Bogdano Rema,40.72882778,23.06355,2012,9,3,0.2,
61,61_1142013,greece,Bogdano Rema,40.72882778,23.06355,2013,4,11,0.4,
61,61_972013,greece,Bogdano Rema,40.72882778,23.06355,2013,7,9,0.4,
61,61_1542014,greece,Bogdano Rema,40.72882778,23.06355,2014,4,15,0.5,
61,61_8102014,greece,Bogdano Rema,40.72882778,23.06355,2014,10,8,0.2,
61,61_2242015,greece,Bogdano Rema,40.72882778,23.06355,2015,4,22,0.3,
61,61_2482015,greece,Bogdano Rema,40.72882778,23.06355,2015,8,24,0.2,
61,61_2252018,greece,Bogdano Rema,40.72882778,23.06355,2018,5,22,0.44,
61,61_1992018,greece,Bogdano Rema,40.72882778,23.06355,2018,9,19,0.44,
61,61_1952019,greece,Bogdano Rema,40.72882778,23.06355,2019,5,19,0.67,
61,61_1992019,greece,Bogdano Rema,40.72882778,23.06355,2019,9,19,0.44,
61,61_3182022,greece,Bogdano Rema,40.72882778,23.06355,2022,8,31,0.33,4
61,61_1652023,greece,Bogdano Rema,40.72882778,23.06355,2023,5,16,0.333333333,4
63,63_1252018,greece,Asopos Viot.,38.3291506,23.7479782,2018,5,12,0.2,5
63,63_2952019,greece,Asopos Viot.,38.3291506,23.7479782,2019,5,29,0.4,4
63,63_2582020,greece,Asopos Viot.,38.3291506,23.7479782,2020,8,25,0.44,4
63,63_2782021,greece,Asopos Viot.,38.3291506,23.7479782,2021,8,27,0.22,5
63,63_1052022,greece,Asopos Viot.,38.3291506,23.7479782,2022,5,10,0.44,4
63,63_2682022,greece,Asopos Viot.,38.3291506,23.7479782,2022,8,26,0.33,4
63,63_1052023,greece,Asopos Viot.,38.3291506,23.7479782,2023,5,10,0.33,4
65,65_2042013,greece,Asopos Viot.,38.2617658,23.4631176,2013,4,20,0.556,3
65,65_1242014,greece,Asopos Viot.,38.2617658,23.4631176,2014,4,12,0.444,4
65,65_152015,greece,Asopos Viot.,38.2617658,23.4631176,2015,5,1,0.333,4
65,65_2192015,greece,Asopos Viot.,38.2617658,23.4631176,2015,9,21,0.778,2
65,65_1252018,greece,Asopos Viot.,38.2617658,23.4631176,2018,5,12,0.5,3
65,65_2952019,greece,Asopos Viot.,38.2617658,23.4631176,2019,5,29,0.6,3
65,65_2752021,greece,Asopos Viot.,38.2617658,23.4631176,2021,5,27,0.5,3
65,65_1052022,greece,Asopos Viot.,38.2617658,23.4631176,2022,5,10,0.4,4
65,65_1052023,greece,Asopos Viot.,38.2617658,23.4631176,2023,5,10,0.4,4
69,69_752014,greece,Inachos,37.73134214,22.73547615,2014,5,7,0.4,4
69,69_2142019,greece,Inachos,37.73134214,22.73547615,2019,4,21,0.6,3
71,71_3032015,greece,Nestos,41.41019,24.105485,2015,3,30,1,1
71,71_8102015,greece,Nestos,41.41019,24.105485,2015,10,8,0.778,2
71,71_1852018,greece,Nestos,41.41019,24.105485,2018,5,18,1.11,1
71,71_2392018,greece,Nestos,41.41019,24.105485,2018,9,23,1.11,1
71,71_852019,greece,Nestos,41.41019,24.105485,2019,5,8,1.11,1
71,71_2192019,greece,Nestos,41.41019,24.105485,2019,9,21,1.11,1
71,71_492020,greece,Nestos,41.41019,24.105485,2020,9,4,0.78,2
71,71_952021,greece,Nestos,41.41019,24.105485,2021,5,9,0.78,2
71,71_292021,greece,Nestos,41.41019,24.105485,2021,9,2,1,1
71,71_1552022,greece,Nestos,41.41019,24.105485,2022,5,15,1,1
71,71_192022,greece,Nestos,41.41019,24.105485,2022,9,1,1,1
71,71_752023,greece,Nestos,41.41019,24.105485,2023,5,7,1,1
71,71_11102023,greece,Nestos,41.41019,24.105485,2023,10,11,1,1
74,74_872012,greece,Dimikos,38.57430692,21.28909209,2012,7,8,0.556,3
74,74_1142013,greece,Dimikos,38.57430692,21.28909209,2013,4,11,0.667,3
74,74_2292013,greece,Dimikos,38.57430692,21.28909209,2013,9,22,1,1
74,74_342014,greece,Dimikos,38.57430692,21.28909209,2014,4,3,0.556,3
74,74_1472014,greece,Dimikos,38.57430692,21.28909209,2014,7,14,1,1
74,74_2142015,greece,Dimikos,38.57430692,21.28909209,2015,4,21,0.667,3
74,74_1592015,greece,Dimikos,38.57430692,21.28909209,2015,9,15,0.778,2
74,74_2742018,greece,Dimikos,38.57430692,21.28909209,2018,4,27,1,1
74,74_472018,greece,Dimikos,38.57430692,21.28909209,2018,7,4,0.78,2
74,74_2462019,greece,Dimikos,38.57430692,21.28909209,2019,6,24,1,1
74,74_1872020,greece,Dimikos,38.57430692,21.28909209,2020,7,18,0.78,2
74,74_2042021,greece,Dimikos,38.57430692,21.28909209,2021,4,20,0.78,2
74,74_2082021,greece,Dimikos,38.57430692,21.28909209,2021,8,20,1,1
74,74_942022,greece,Dimikos,38.57430692,21.28909209,2022,4,9,1,1
74,74_2562022,greece,Dimikos,38.57430692,21.28909209,2022,6,25,0.78,2
74,74_1662023,greece,Dimikos,38.57430692,21.28909209,2023,6,16,0.67,3
78,78_3032015,greece,Aggitis,41.14087,24.14227,2015,3,30,0.556,3
78,78_2452018,greece,Aggitis,41.14087,24.14227,2018,5,24,0.67,3
78,78_2192018,greece,Aggitis,41.14087,24.14227,2018,9,21,0.44,4
78,78_2252019,greece,Aggitis,41.14087,24.14227,2019,5,22,0.67,3
78,78_2092019,greece,Aggitis,41.14087,24.14227,2019,9,20,0.78,2
78,78_492020,greece,Aggitis,41.14087,24.14227,2020,9,4,0.44,4
78,78_3152021,greece,Aggitis,41.14087,24.14227,2021,5,31,0.44,4
78,78_492021,greece,Aggitis,41.14087,24.14227,2021,9,4,0.44,4
78,78_1952022,greece,Aggitis,41.14087,24.14227,2022,5,19,0.56,3
78,78_292022,greece,Aggitis,41.14087,24.14227,2022,9,2,0.56,3
78,78_2552023,greece,Aggitis,41.14087,24.14227,2023,5,25,0.56,3
78,78_2892023,greece,Aggitis,41.14087,24.14227,2023,9,28,0.44,4
81,81_2792018,greece,Evrotas,36.993872,22.518558,2018,9,27,0.89,2
81,81_1972019,greece,Evrotas,36.993872,22.518558,2019,7,19,0.89,1
81,81_172020,greece,Evrotas,36.993872,22.518558,2020,7,1,0.44,4
81,81_1442021,greece,Evrotas,36.993872,22.518558,2021,4,14,0.56,3
81,81_172021,greece,Evrotas,36.993872,22.518558,2021,7,1,0.67,3
81,81_642022,greece,Evrotas,36.993872,22.518558,2022,4,6,0.44,4
81,81_3032023,greece,Evrotas,36.993872,22.518558,2023,3,30,0.44,4
81,81_472023,greece,Evrotas,36.993872,22.518558,2023,7,4,0.44,4
82,82_342014,greece,Elassonitikos,39.87154345,22.14997069,2014,4,3,0.3,4
82,82_3082014,greece,Elassonitikos,39.87154345,22.14997069,2014,8,30,0.4,4
82,82_1652018,greece,Elassonitikos,39.87154345,22.14997069,2018,5,16,0.56,3
