"Unique.ID","Samp.ID","Sampling.date","year","month","day","ADICELLA SP.","ANCYLUS FLUVIATILIS","ANTHOMYIIDAE GEN. SP.","ATHERICIDAE GEN. SP.","ATHRIPSODES SP.","BAETIDAE GEN. SP.","BERAEA SP.","BLEPHARICERIDAE GEN. SP.","BOYERIA IRENE","BRACHYPTERA ARCUATA","CAENIS SP.","CALOPTERYX SP.","CAPNIIDAE GEN. SP.","CERATOPOGONIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","COENAGRIONIDAE GEN. SP.","CORDULEGASTER SP.","CORIXIDAE GEN. SP.","DIXIDAE GEN. SP.","DOLICHOPODIDAE GEN. SP.","DRUNELLA PARADINASI","DRYOPS SP.","DUGESIA SP.","DYTISCIDAE GEN. SP.","ELMIDAE GEN. SP.","EMPIDIDAE GEN. SP.","EPHEMERA SP.","ERPOBDELLIDAE GEN. SP.","GERRIS SP.","GLOSSIPHONIIDAE GEN. SP.","GLOSSOSOMATIDAE GEN. SP.","GOERIDAE GEN. SP.","GORDIUS SP.","GYRINIDAE GEN. SP.","HELOPHORUS SP.","HEPTAGENIIDAE GEN. SP.","HYDRAENA SP.","HYDROMETRA SP.","HYDROPHILIDAE GEN. SP.","HYDROPSYCHE SP.","HYDROPTILIDAE GEN. SP.","LEPIDOSTOMA HIRTUM","LEPTOPHLEBIIDAE GEN. SP.","LEUCTRA SP.","LIMNEPHILIDAE GEN. SP.","LIMONIIDAE GEN. SP.","LYMNAEIDAE GEN. SP.","MICRASEMA SP.","MYSTACIDES AZUREA","NEMOURIDAE GEN. SP.","NEPA CINEREA","NOTONECTA SP.","OLIGOCHAETA GEN. SP.","ONYCHOGOMPHUS SP.","PACIFASTACUS LENIUSCULUS","PERLIDAE GEN. SP.","PERLODIDAE GEN. SP.","PHILOPOTAMUS SP.","PHYSIDAE GEN. SP.","PISIDIUM SP.","PLANARIIDAE GEN. SP.","PLATYCNEMIS SP.","POLYCENTROPODIDAE GEN. SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIIDAE GEN. SP.","RHAGIONIDAE GEN. SP.","RHYACOPHILA SP.","SCIRTIDAE GEN. SP.","SERICOSTOMA SP.","SERRATELLA SP.","SIALIS SP.","SIMULIIDAE GEN. SP.","SIPHLONURUS SP.","SIPHONOPERLA SP.","TABANIDAE GEN. SP.","THAUMALEIDAE GEN. SP.","THREMMA SP.","TIPULIDAE GEN. SP.","VELIIDAE GEN. SP.","WORMALDIA SP."
"ESP_060_MZB_LO_13","ESP_060_MZB_LO_13-12.08.2019","12.08.2019",2019,8,12,0,0,0,1,0,136,0,0,0,0,0,0,0,8,552,0,1,0,0,0,0,0,0,0,232,8,0,0,3,0,8,8,0,0,0,88,24,0,0,187,0,0,8,432,9,18,0,8,0,64,0,0,0,0,0,30,0,0,0,0,16,0,0,0,0,0,17,48,42,88,0,16,0,0,0,0,0,0,0,48
"ESP_060_MZB_LO_13","ESP_060_MZB_LO_13-21.08.2020","21.08.2020",2020,8,21,0,0,0,22,0,200,0,0,0,0,0,1,0,0,336,0,0,0,0,0,0,0,0,9,128,0,0,0,5,0,0,32,0,0,8,19,8,0,8,43,0,0,40,352,3,15,0,48,0,56,0,0,0,0,0,19,0,0,0,16,0,0,0,0,0,0,0,56,116,32,0,24,0,0,0,0,0,1,9,0
"ESP_060_MZB_LO_13","ESP_060_MZB_LO_13-31.08.2021","31.08.2021",2021,8,31,0,0,0,10,0,40,0,8,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,8,104,0,0,0,6,0,0,8,0,0,0,40,8,0,0,79,0,0,8,224,1,89,0,0,0,144,0,0,1,0,0,30,0,0,0,0,8,0,0,0,0,0,11,56,75,0,0,224,0,0,0,0,0,10,3,0
"ESP_060_MZB_LO_13","ESP_060_MZB_LO_13-23.08.2022","23.08.2022",2022,8,23,0,0,0,19,0,49,0,0,0,0,0,0,0,0,248,0,0,0,8,0,0,0,0,8,72,0,0,0,3,0,0,8,0,1,0,116,8,0,8,94,0,8,40,248,1,16,0,0,0,0,0,0,8,0,0,19,0,0,0,0,0,0,0,0,0,0,0,8,142,16,0,16,0,0,8,0,0,1,2,0
"ESP_060_MZB_LO_13","ESP_060_MZB_LO_13-30.08.2023","30.08.2023",2023,8,30,0,0,0,118,0,72,0,0,0,0,0,0,0,0,224,0,1,0,8,0,0,0,0,0,72,0,0,0,2,0,0,0,0,0,0,40,16,0,0,31,0,1,8,136,8,3,0,16,0,56,0,0,1,0,0,35,0,0,0,0,8,0,0,0,0,9,1,32,76,0,0,48,0,0,0,0,0,0,0,0
"ESP_060_MZB_LO_13","ESP_060_MZB_LO_13-27.08.2024","27.08.2024",2024,8,27,0,8,8,14,0,40,0,0,0,0,0,0,0,0,304,0,9,0,0,0,0,0,0,8,24,0,0,0,4,0,24,8,0,0,0,59,0,0,0,72,0,8,0,144,3,15,0,8,0,40,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,8,8,80,71,8,0,16,0,0,0,0,0,0,0,0
"ESP_060_MZB_LO_15","ESP_060_MZB_LO_15-15.07.2014","15.07.2014",2014,7,15,16,0,0,0,0,113,0,0,53,0,0,42,0,0,1062,0,26,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,8,176,22,0,0,0,0,0,0,0,9,67,0,0,0,0,0,96,0,0,0,8,0,0,0,0,0,8,0,936,0,0,1,0,0,0,0,0
"ESP_060_MZB_LO_15","ESP_060_MZB_LO_15-09.07.2015","09.07.2015",2015,7,9,25,0,0,0,0,320,0,0,82,0,0,10,0,8,624,0,18,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,136,0,0,9,0,0,0,0,0
"ESP_060_MZB_LO_15","ESP_060_MZB_LO_15-12.07.2016","12.07.2016",2016,7,12,1,0,16,0,0,200,0,0,19,0,0,8,0,0,344,0,18,0,0,0,0,0,0,1,16,8,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,8,184,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,16,0,0,1,0,0,0,1,0,9,26,0,408,0,0,8,0,0,0,0,0
"ESP_060_MZB_LO_15","ESP_060_MZB_LO_15-05.07.2017","05.07.2017",2017,7,5,4,0,0,0,0,104,0,0,9,0,0,5,0,4,152,0,4,0,0,0,0,0,0,0,5,8,0,0,3,0,0,0,0,0,0,8,8,0,0,1,0,0,8,190,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,8,0,0,0,0,0,0,1,4,0,28,0,102,0,0,2,0,0,0,0,0
