"country","prov","origin","dataset.id","group","org.site","unique.id","river","latitude","longitude","st.yr","ed.yr","yr.ln","yr.num","distance"
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",7,"NRW_316829","GER_070_MZB_LO_277","Gelderner Fleuth",51.4570123074582,6.34379702405134,2007,2018,12,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",7,"NRW_316842","GER_070_MZB_LO_278","Landwehr",51.4575634343781,6.34470079609858,2007,2018,12,5,84.7694435068287
"Germany","Landesamt für Umwelt, Landwirtschaft und Geologie (LfULG), Sachsen","new data call","GER_072_MZB_LO",1,"SN_OBF02100","GER_072_MZB_LO_14","Elbe-2",51.3492044230528,13.2448065041056,2009,2019,11,11,0
"Germany","Landesamt für Umwelt, Landwirtschaft und Geologie (LfULG), Sachsen","new data call","GER_072_MZB_LO",1,"SN_OBF02200","GER_072_MZB_LO_15","Elbe-2",51.3500069227238,13.24541679737,2009,2019,11,11,95.4935629352941
"Germany","Landesamt für Umwelt, Landwirtschaft und Geologie (LfULG), Sachsen","new data call","GER_072_MZB_LO",3,"SN_OBF02550","GER_072_MZB_LO_16","Elbe-2",51.4844090149004,13.1316592883836,2009,2019,11,11,0
"Germany","Landesamt für Umwelt, Landwirtschaft und Geologie (LfULG), Sachsen","new data call","GER_072_MZB_LO",3,"SN_OBF02560","GER_072_MZB_LO_17","Elbe-2",51.4847125513363,13.132804136536,2009,2019,11,11,83.4341756067878
"Germany","Landesamt für Umwelt, Landwirtschaft und Geologie (LfULG), Sachsen","new data call","GER_072_MZB_LO",5,"SN_OBF02810","GER_072_MZB_LO_20","Elbe-2",51.6485664449889,12.8951233698274,2009,2019,11,11,0
"Germany","Landesamt für Umwelt, Landwirtschaft und Geologie (LfULG), Sachsen","new data call","GER_072_MZB_LO",5,"SN_OBF02820","GER_072_MZB_LO_21","Elbe-2",51.649188902362,12.8960025436523,2009,2019,11,11,89.0303058553382
"Sweden","Lenka Kuglerová","first call; data Ellen used","SWE_039_MZB_LO",1,"162","SWE_039_MZB_LO_76","Viskansbäcken",62.4530122539004,16.4385354882144,2011,2019,9,9,0
"Sweden","Lenka Kuglerová","first call; data Ellen used","SWE_039_MZB_LO",1,"163","SWE_039_MZB_LO_77","Viskansbäcken",62.4527560397459,16.4372632143608,1997,2019,23,23,70.745714420206
"Switzerland","Maxime Chevre","new data call","CHE_075_MZB_LO",1,"CH_151_VD","CHE_075_MZB_LO_107","Combagnou",46.5748049764915,6.43316147387433,2019,2022,4,4,0
"Switzerland","Maxime Chevre","new data call","CHE_075_MZB_LO",1,"Spez_083_VD_190","CHE_075_MZB_LO_233","Combagnou",46.5748229661786,6.43316113957969,2018,2018,1,1,1.93638362238797
"Switzerland","Maxime Chevre","new data call","CHE_075_MZB_LO",2,"CH_SPEZ_513_SH","CHE_075_MZB_LO_128","Landgraben (Halbbach)",47.6889057029403,8.45511027816679,2023,2023,1,1,0
"Switzerland","Maxime Chevre","new data call","CHE_075_MZB_LO",2,"Spez_064_SH","CHE_075_MZB_LO_213","Hoobach",47.6883470890823,8.45419381531804,2017,2017,1,1,89.6347265867992
"Switzerland","Maxime Chevre","new data call","CHE_075_MZB_LO",5,"Spez_084_VD_4438","CHE_075_MZB_LO_234","Irence",46.5112762758481,6.43252936671585,2018,2018,1,1,0
"Switzerland","Maxime Chevre","new data call","CHE_075_MZB_LO",5,"Spez_084_VD_648","CHE_075_MZB_LO_235","Irence",46.5113033757613,6.43254189390329,2018,2018,1,1,3.06190706648075
"Switzerland","Christopher Robinson","new data call","CHE_076_MZB_LO",1,"1","CHE_076_MZB_LO_1","Grond",46.7292538603,10.126757835,2001,2022,22,22,0
"Switzerland","Christopher Robinson","new data call","CHE_076_MZB_LO",1,"2","CHE_076_MZB_LO_2","Mezza-Gluna",46.7299353673,10.1276295696,2001,2022,22,22,97.6697016051867
