"name","taxon","aqem","gen","sp","spear_yes","spear_no","mod_holo","mod_mero","tachalt_low","tachalt_pie","tachalt_alt","tachaqua_egg","tachaqua_larva","tachaqua_nymph","tachaqua_adult","current_lib","current_lip","current_lrp","current_rlp","current_rhp","current_rhb","current_ind","tachcurr_null","tachcurr_slow","tachcurr_medium","tachcurr_fast","tachdisp_aquapass","tachdisp_aquaact","tachdisp_aerpass","tachdisp_aeract","tachfeed_abs","tachfeed_dpf","tachfeed_shr","tachfeed_scr","tachfeed_fif","tachfeed_pie","tachfeed_pre","tachfeed_par","feeding_gra","feeding_min","feeding_xyl","feeding_shr","feeding_gat","feeding_aff","feeding_pff","feeding_pre","feeding_par","feeding_oth","tachfood_mior","tachfood_detl1","tachfood_dpg1","tachfood_limi","tachfood_lima","tachfood_dag1","tachfood_lmic","tachfood_lmac","tachfood_vert","tachlifedur_less1","tachlifedur_gr1","tachloco_flr","tachloco_ssw","tachloco_wsw","tachloco_crw","tachloco_bur","tachloco_int","tachloco_tat","tachloco_pat","locomotion_sws","locomotion_swd","locomotion_bub","locomotion_spw","locomotion_ses","locomotion_oth","tachlongdist_cr","tachlongdist_er","tachlongdist_mr","tachlongdist_hr","tachlongdist_ep","tachlongdist_mp","tachlongdist_est","tachlongdist_out","tachsize_less0.25","tachsize_0.25to0.5","tachsize_0.5to1","tachsize_1to2","tachsize_2to4","tachsize_4to8","tachsize_gr8","microhab_arg","microhab_pel","microhab_psa","microhab_aka","microhab_lit","microhab_phy","microhab_pom","microhab_oth","tachph_less4","tachph_4to4.5","tachph_4.5to5","tachph_5to5.5","tachph_5.5to6","tachph_gr6","tachrepcyc_less1","tachrepcyc_one","tachrepcyc_gr1","tachrepro_ovo","tachrepro_fie","tachrepro_cie","tachrepro_fic","tachrepro_frc","tachrepro_vec","tachrepro_tec","tachrepro_ase","tachresist_egg","tachresist_coc","tachresist_hou","tachresist_did","tachresist_non","tachrespir_teg","tachrespir_gil","tachrespir_pls","tachrespir_spi","tachrespir_ves","tachsal_frw","tachsal_brw","tachsap_x","tachsap_o","tachsap_b","tachsap_a","tachsap_p","streamzone_euc","streamzone_hyc","streamzone_erh","streamzone_mrh","streamzone_hrh","streamzone_epo","streamzone_mpo","streamzone_hpo","streamzone_lit","streamzone_pro","tachsub_fbcp","tachsub_grvl","tachsub_sand","tachsub_silt","tachsub_macp","tachsub_micp","tachsub_twro","tachsub_odli","tachsub_mud","tachtemp_psy","tachtemp_the","tachtemp_eut","tachtransdist_rich","tachtransdist_bcsa","tachtransdist_ppdsa","tachtransdist_mapb","tachtransdist_tmpw","tachtransdist_lake","tachtransdist_gw","tachtroph_oli","tachtroph_meso","tachtroph_eu","adspan_less1wk","adspan_gr1wk","adspan_gr1mon","adspan_gr1yr","fmwing_less5","fmwing_5to10","fmwing_10to15","fmwing_15to20","fmwing_20to30","fmwing_30to40","fmwing_40to50","fmwing_gr50","wingpair_no","wingpair_1halt","wingpair_1hind","wingpair_1elhe","wingpair_2","fecund_less100","fecund_100to1000","fecund_1000to3000","fecund_gr3000","drift_rare","drift_occ","drift_freq"
"CYANOPHTHALMA OBSCURA","TETRASTEMMATIDAE GEN. SP.",20414,"TETRASTEMMATIDAE","GEN. SP.",NA,NA,1,0,3,0,0,3,0,0,3,NA,NA,NA,NA,NA,NA,NA,2,2,3,0,0,3,0,0,0,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,5,0,0,3,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,0,1,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,0,3,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,0,3,0,1,3,2,1,0,3,2,3,3,0,0,2,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYBAEIDAE GEN. SP.","ARGYRONETA AQUATICA",4349,"ARGYRONETA","AQUATICA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYBISTER LATERALIMARGINALIS","CYBISTER LATERALIMARGINALIS AD.",11770,"CYBISTER","LATERALIMARGINALIS AD.",0,1,1,0,3,0,0,3,3,0,2,0,1,0,0,0,0,0,3,0,0,0,0,1,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,3,0,3,1,0,3,3,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,7,0,3,0,0,1,1,1,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,0,0,3,0,3,0,0,0,1,3,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,3,0,0,3,3,0,0,3,0,0,3,3,0,1,0,0,1,3,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,3,0,0,3,0,0,3,0,0
"CYLINDROTOMIDAE GEN. SP.","CYLINDROTOMIDAE GEN. SP.",9313,"CYLINDROTOMIDAE","GEN. SP.",1,0,0,1,2.5,1,0,0,3,3,0,1,0,0,0,0,0,0,2.5,2.5,1,0.5,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,3,0,4,0,0,0,0,0,3,0,0,0,2,3,0,1.5,0,0,0,5,5,0,0,0.5,1.5,0,0,0,0,0,2.5,0,0,0,3,1,0,0,3,3,3,0,0,0,1,0,2,3,3,3,3,2,0,3,0.5,0,1,3,0,0,0,0,0,0,0,0,0,2,0.5,0.5,0,3,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,5,0,0,0,0,0,0,1,2.5,0,2,2,0,0.5,0,0.5,1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYMATIA BONSDORFFII","CYMATIA BONSDORFFII",11213,"CYMATIA","BONSDORFFII",0,1,1,0,3,1,0,3,3,0,2,1,0,0,0,0,0,0,2,1,0,0,0,3,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,1,0,3,0,0,0,5,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,5,0,1,3,0,0,0,0,0,2,0,0,0,8,0,0,2,2,2,3,3,3,0,0,2,0,0,1,3,0,0,0,0,0,0,0,1,0,1,0,2,3,0,3,2,0,0,3,1,0,0,0,0,2,3,3,1,0,1,0,0,0,2,0,3,2,0,0,2,0,0,3,0,0,2,0,2,2,0,0,3,1,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,3,0,2,2,0,0,3,0,0
"CYMATIA COLEOPTRATA","CYMATIA COLEOPTRATA",4849,"CYMATIA","COLEOPTRATA",0,1,1,0,3,1,0,3,3,0,2,0,1,0,0,0,0,0,2,1,0,0,0,3,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,1,0,3,0,0,0,5,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,5,0,1,3,0,0,0,0,0,1,0,0,0,9,0,0,2,2,2,3,3,3,0,0,2,0,0,1,3,0,0,0,0,0,0,0,1,0,1,0,2,3,0,3,2,0,0,3,1,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,3,2,0,0,2,0,0,3,0,0,2,0,2,2,0,0,3,1,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,3,0,2,2,0,0,3,0,0
"CYMATIA SP.","CYMATIA SP.",8952,"CYMATIA","SP.",0,1,1,0,3,1,0,3,3,0,2,0,1,0,0,0,0,0,2,1,0,0,0,3,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,1,0,3,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,1,3,0,0,0,0,0,2,0,0,0,8,0,0,2,2,2,3,3,3,0,0,2,0,0,1,3,0,0,0,0,0,0,0,1,0,1,0,2,3,0,3,2,0,0,3,1,0,0,0,0,1,1,1,0,0,7,0,0,0,2,0,3,2,0,0,2,0,0,3,0,0,2,0,2,2,0,0,3,1,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,3,0,2,2,0,0,3,0,0
"CYMATIAINAE GEN. SP.","CYMATIAINAE GEN. SP.",19855,"CYMATIAINAE","GEN. SP.",0,1,1,0,2.6,1.2,0.3,3,3,0,2.1,0,1,0,0,0,0,0,2.2,1.1,0.2,0,0.5,2.07142857142857,0.214285714285714,2,0,0,2.4,1.5,0,2.7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0.9,1.7,1.2,0.4,2.6,0.3,0,3,0.142857142857143,0.8,0.2,4.5,0.2,0,0,0,0,0,8,0,0,0,2,0.1,0.7,0.8,0.7,0.2,0.2,0.3,4.5,0.214285714285714,0.428571428571429,2.5,0.214285714285714,0,0,0,0,2,0,0,0,8,0,0,1,1.2,2.2,2.7,2.6,2.6,0,1.07142857142857,1.64285714285714,0,0,1.2,2.8,0,0.4,0,0,0,0,0,1,0,1,0,1.9,2.8,0,2.9,1.5,0,1.2,1.4,1.6,0,0,0,0,1,1,1,0,0,7,0,0.5,0.4,0.7,0.4,2.4,0.2,0.2,1.6,0.7,0,0,3,0.3,1.3,2.3,0.8,0.9,2.4,0,1.4,1.7,1.5,0,0,3,0,1.16666666666667,1.83333333333333,0.333333333333333,0,0,0,0,0,0,0,0,3,0,1.90909090909091,2.09090909090909,0,0,3,0,0
"CYMBIODYTA MARGINELLA","CYMBIODYTA MARGINELLA AD.",12970,"CYMBIODYTA","MARGINELLA AD.",0,1,1,0,3,0,0,3,3,0,2,0,1,0,0,0,0,0,3,0,0,0,0,1,0,3,0,0,3,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,3,1,0,1,3,1,0,3,3,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,5,5,0,1,1,1,1,1,2,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,3,1,0,1,3,0,2,2,0,1,3,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,3,0,3,3,0,0,3,0,0,3,3,0,0,0,0,0,3,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0
"CYPHON SP.","CYPHON SP. AD.",14016,"CYPHON","SP. AD.",0,1,0,1,3,0,0,3,3,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,3,0,0,1,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,3,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,2,0,0,0,3,5,0,1,1,2,3,3,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,3,0,0,0,3,2,NA,NA,NA,NA,NA,0.1875,0.75,1.625,1.9375,1.375,0.1875,0,0,3.9375,0,0,0,0,0,3,1,0,3,3,0,0,3,0,0,2,2,0,0,0,0,0,3,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,0,3,0,0,0,1,2.5,0
"CYRNUS CRENATICORNIS","CYRNUS CRENATICORNIS",4873,"CYRNUS","CRENATICORNIS",1,0,0,1,3,0,1,3,3,3,0,1,0,0,0,0,0,0,3,3,0,0,2,1,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,3,2,0,3,0,0,0,1,1,0,0,3,0,0,0,0,4,6,0,0,0,0,1,2,3,2,5,0,0,3,1,0,0,0,0,0,0,0,0,10,0,0,0,1,2,3,3,3,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,1,0,2,3,2,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,5,2,1,3,0,0,0,3,0,3,3,0,0,4,0,1,2,2,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1,2,1
"CYRNUS FLAVIDUS","CYRNUS FLAVIDUS",4874,"CYRNUS","FLAVIDUS",1,0,0,1,3,0,1,3,3,3,0,1,0,0,0,0,0,0,3,3,0,0,2,1,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,3,2,0,3,0,0,0,1,1,0,0,3,0,0,0,0,4,6,0,0,0,0,1,2,3,2,5,0,0,3,1,0,0,0,0,0,0,0,0,10,0,0,0,1,2,3,3,3,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,1,0,2,3,2,0,0,0,0,0,3,3,0,0,4,0,4,0,0,0,5,2,1,3,0,0,0,3,0,3,3,0,0,4,0,1,2,2,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1,2,1
"CYRNUS INSOLUTUS","CYRNUS INSOLUTUS",4875,"CYRNUS","INSOLUTUS",1,0,0,1,3,0,1,3,3,3,0,0,1,0,0,0,0,0,3,3,0,0,2,1,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,3,2,0,3,0,0,0,1,1,0,0,3,0,0,0,0,4,6,0,0,0,0,1,2,3,2,5,0,0,3,1,0,0,0,0,0,0,0,0,10,0,0,0,1,2,3,3,3,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,1,0,2,3,2,0,0,0,0,0,1,3,2,1,3,0,4,0,0,0,5,2,1,3,0,0,0,3,0,3,3,0,0,4,0,1,2,2,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1,2,1
"CYRNUS TRIMACULATUS","CYRNUS TRIMACULATUS",4877,"CYRNUS","TRIMACULATUS",1,0,0,1,3,0,1,3,3,3,0,0,1,0,0,0,0,0,3,3,0,0,2,1,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,3,2,0,3,0,0,0,1,1,0,0,3,0,0,0,0,4,6,0,0,0,0,1,2,3,2,5,0,0,3,1,0,0,0,0,0,4,1,0,5,0,0,0,1,2,3,3,3,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,1,0,2,3,2,0,0,0,0,1,4,4,0,0,1,0,4,0,0,0,5,2,1,3,0,0,0,3,0,3,3,0,0,4,0,1,2,2,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1,2,1
"CYZICIDAE GEN. SP.","CYZICIDAE GEN. SP.",9267,"CYZICIDAE","GEN. SP.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DASYHELEA SP.","DASYHELEA SP.",9674,"DASYHELEA","SP.",0,1,0,1,2.33333333333333,1,0,0.333333333333333,2.66666666666667,2,0,0,0,0,0,0,0,1,3,1.66666666666667,0.333333333333333,0,1.5,0.5,0,2,0,1,0.666666666666667,0.666666666666667,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0.333333333333333,0.666666666666667,3,0.333333333333333,0.333333333333333,1.33333333333333,0.666666666666667,0,3,0,0,0.666666666666667,1,3,1.33333333333333,0,0,0,0,7,0,0,0,3,0.666666666666667,1.33333333333333,1.33333333333333,1.33333333333333,1,1,1.66666666666667,2.66666666666667,0,0.75,1,2.25,0,0,0,0,3,3,0,0,4,0,0,0.5,1,1.5,1.5,1.5,3,0,2,1.5,0,0,0.333333333333333,3,0,0,0,0,0.666666666666667,0,0,0,3,0,3,0,0,0,2.33333333333333,1.66666666666667,0,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,1.66666666666667,3,1,2.66666666666667,2.33333333333333,3.33333333333333,0.333333333333333,3,0,0.5,2.5,0,2,2.66666666666667,1,1.33333333333333,2.33333333333333,0,1.33333333333333,2,1.33333333333333,1,3,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,1,3,0,0,3,0,0
"DECAPODA GEN. SP.","DECAPODA GEN. SP.",9349,"DECAPODA","GEN. SP.",NA,NA,1,0,3,0.066666667,0,3,3,0,2.433333333,0,0,0.125,0.375,0.25,0,0.25,2.433333333,1.833333333,0.5,0.133333333,0.2,1.666666667,0,0,0,0.066666667,2.766666667,0.4,0,0,1.966666667,0,0,0,0,0.5,2.75,0,0,3.25,0,3.5,0,0.2,1.566666667,0,1.5,0.533333333,0.266666667,1.9,0.533333333,0.2,3,0,0,1.5,2.3,1.766666667,0,0,0,0,1.166666667,0.25,8.583333333,0,0,0,0.433333333,0.6,0.4,1.066666667,1.4,0.6,1.6,0,0,0,0,0.6,1.266666667,1.6,0.833333333,1.083333333,0.5,0.416666667,4.5,1.916666667,0.5,0.25,0,0,0.333333333,0.333333333,0.666666667,2.333333333,0.15,2.85,0,2.4,0,0.6,1.133333333,0,0,0,0,0.133333333,0,0,0.133333333,2.8,0,3,0,0,0,2.8,1.266666667,0.166666667,0.666666667,1.833333333,1.333333333,0,0,0.5,0.75,0.5,0.875,1,2.125,1.125,3.125,0,1.8,0.066666667,0.266666667,0.2,2.4,0,0.066666667,0.4,0.066666667,0.533333333,1,2.4,0.2,2.466666667,1.3,0.9,0.3,0.7,0,1.4,0.866666667,1.3,0,0,1.666666667,2.333333333,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0.166666667,3,0.5,0.166666667,3,0,0
"DENDROCOELIDAE GEN. SP.","DENDROCOELIDAE GEN. SP.",9361,"DENDROCOELIDAE","GEN. SP.",0,1,1,0,3,0,0,3,3,0,3,0,0.4,0,0,0,0,0.6,2.5,2.5,1,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,3,0.666666666666667,0,0,0,5,0,0,0,0,0,2.5,0,7.5,0,0,0.5,0.5,1,1.5,2,1.5,0,4,0,0,0,0,3,0,0,0,0,0,0,1.66666666666667,8.33333333333333,0,0,0.5,0.5,0.5,1.5,1.5,3,0,3,0,0,0,0,3,0,0,0,1,0,2.5,0,0,0,3,0,0,0,0,3,0.5,0,0,1.5,1,0,3.75,3,1.25,0.25,0.25,0.25,0.25,0.25,0.75,0,4,0,0,0,1.5,0,0,2,0,0,0,3,0,1.5,1,0,0.5,3.5,0,0.5,1.5,2,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,2,2,0,0,3,0,0
"DENDROCOELUM ALBUM","DENDROCOELUM ALBUM",11363,"DENDROCOELUM","ALBUM",0,1,1,0,3,0,0,3,3,0,3,0,0,0,0,0,0,1,2,3,2,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,5,0,0,0,0,0,2.5,0,7.5,0,0,1,1,2,3,4,3,0,3,0,0,0,0,3,0,0,0,0,0,0,5,5,0,0,1,1,1,3,3,3,0,3,0,0,0,0,3,0,0,0,0,0,2,0,0,0,3,0,0,0,0,3,1,0,0,2,1,0,3.75,3,1.25,0.25,0.25,0.25,0.25,0.25,0.75,0,4,0,0,0,0,0,0,2,0,0,0,3,0,3,2,0,1,2,0,0,2,3,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,2,2,0,0,3,0,0
"DENDROCOELUM LACTEUM","DENDROCOELUM LACTEUM",4911,"DENDROCOELUM","LACTEUM",0,1,1,0,3,0,0,3,3,0,3,0,0,0,0,0,0,1,2,3,2,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,5,0,0,0,0,0,0,0,10,0,0,1,1,2,3,4,3,0,3,0,0,0,0,3,0,0,0,0,0,0,5,5,0,0,1,1,1,3,3,3,0,3,0,0,0,0,3,0,0,0,0,0,2,0,0,0,3,0,0,0,0,3,1,0,0,2,1,0,0,1,1,1,1,1,1,1,3,0,4,0,0,0,0,0,0,2,0,0,0,3,0,3,2,0,1,2,0,0,2,3,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,2,2,0,0,3,0,0
"DENDROCOELUM ROMANODANUBIALE","DENDROCOELUM ROMANODANUBIALE",9363,"DENDROCOELUM","ROMANODANUBIALE",0,1,1,0,3,0,0,3,3,0,3,0,0,0,0,0,0,1,2,3,2,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,5,0,0,0,0,0,5,0,5,0,0,1,1,2,3,4,3,0,3,0,0,0,0,3,0,0,0,0,0,0,5,5,0,0,1,1,1,3,3,3,0,3,0,0,0,0,3,0,0,0,0,0,2,0,0,0,3,0,0,0,0,3,1,0,0,2,1,0,3.75,3,1.25,0.25,0.25,0.25,0.25,0.25,0.75,0,4,0,0,0,0,0,0,2,0,0,0,3,0,3,2,0,1,2,0,0,2,3,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,2,2,0,0,3,0,0
"DENDROCOELUM SP.","DENDROCOELUM SP.",9362,"DENDROCOELUM","SP.",0,1,1,0,3,0,0,3,3,0,3,0,0,0,0,0,0,1,2,3,2,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,5,0,0,0,0,0,2.5,0,7.5,0,0,1,1,2,3,4,3,0,3,0,0,0,0,3,0,0,0,0,0,0,5,5,0,0,1,1,1,3,3,3,0,3,0,0,0,0,3,0,0,0,0,0,2,0,0,0,3,0,0,0,0,3,1,0,0,2,1,0,3.75,3,1.25,0.25,0.25,0.25,0.25,0.25,0.75,0,4,0,0,0,0,0,0,2,0,0,0,3,0,3,2,0,1,2,0,0,2,3,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,2,2,0,0,3,0,0
"DERONECTES LATUS","DERONECTES LATUS AD.",11829,"DERONECTES","LATUS AD.",0,1,1,0,3,1,1,3,3,0,2,0,0,0,0,1,0,0,3,2,1,0,2,1,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,3,0,1,3,1,0,3,3,0,0,0,0,0,4,0,6,0,0,0,1,4,4,1,0,0,1,0,1,3,0,0,0,0,0,0,2,1,0,6,0,1,0,0,1,1,1,3,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,3,1,0,0,3,0,3,0,0,1,3,2,0,0,0,1,4,2,0,0,0,3,0,0,1,1,1,1,0,0,1,0,0,0,3,0,1,2,1,1,1,0,1,3,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,2,2,0
"DERONECTES PLATYNOTUS","DERONECTES PLATYNOTUS AD.",11833,"DERONECTES","PLATYNOTUS AD.",0,1,1,0,3,1,1,3,3,0,2,0,0,0,0,1,0,0,3,2,1,0,2,1,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,3,0,1,3,1,0,3,3,0,0,0,0,0,4,0,6,0,0,0,1,4,4,1,0,0,1,0,1,3,0,0,0,0,0,0,0,1,7,2,0,0,0,0,1,1,1,3,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,3,1,0,0,3,0,3,0,0,1,3,2,0,2,3,1,2,2,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,3,0,1,2,1,1,1,0,1,3,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,2,2,0
"DERONECTES SP.","DERONECTES SP. AD.",11830,"DERONECTES","SP. AD.",0,1,1,0,3,1,1,3,3,0,2,0,0,0,0,1,0,0,3,2,1,0,2,1,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,3,0,1,3,1,0,3,3,0,0,0,0,0,4,0,4,0,2,0,1,4,4,1,0,0,1,0,1,3,0,0,0,0,0,0,0.8,1,4.4,3.2,0.2,0.4,0,0,1,1,1,3,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,3,1,0,0,3,0,3,0,0,1,3,2,0,0.666666666666667,1.33333333333333,2.66666666666667,3,1.33333333333333,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,3,0,1,2,1,1,1,0,1,3,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,2,2,0
"DICRANOTA BIMACULATA","DICRANOTA BIMACULATA",7186,"DICRANOTA","BIMACULATA",0,1,0,1,3,1,1,2,2,0,0,0,0,0,1,0,0,0,1,2,1,1,2,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,0,2,2,0,0,0,0,0,5,5,0,0,1,1,1,1,0,0,1,0,0,0,0,1,3,2,0,3,3,3,0,0,0,1,0,1,1,3,3,3,3,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,3,0,NA,NA,NA,NA,NA,0,0,1,3,3,1,0,0,2,0,2,3,3,2,1,0,1,3,2,1,0,1,0,3,2,2,0,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
