"country","prov","origin","dataset","group","org.site","unique.id","river","latitude","longitude","yr.st","yr.ed","yr.ln","yr.num","distance"
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",7,"50933","ENG_041_MZB_LO_3507","Teme - conf R Onny to conf R Severn",52.199608,-2.3894398,1994,2019,26,24,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",7,"50933","ENG_062_MZB_LO_1800","TEME",52.2012020439,-2.3921437641,2002,2023,22,20,247.462596356107
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",8,"51327","ENG_041_MZB_LO_3510","Severn - conf R Avon to conf Upper Parting",51.947756,-2.2269207,1994,2019,26,21,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",8,"51327","ENG_062_MZB_LO_1849","SEVERN (LS)",51.9493036337,-2.2259340113,2002,2022,21,6,178.752529689796
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",9,"51807","ENG_041_MZB_LO_3512","Hoo Bk - source to conf R Stour",52.369631,-2.2503756,1995,2015,21,19,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",9,"51807","ENG_062_MZB_LO_1894","STOUR (US)",52.372330478,-2.2516940834,2003,2015,13,11,302.849697503115
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",10,"52127","ENG_041_MZB_LO_3514","Dowles Bk - source to conf R Severn",52.384275,-2.3278868,1994,2010,17,14,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",10,"52393","ENG_062_MZB_LO_1948","SEVERN",52.3849635623,-2.324567814,2002,2024,23,19,230.499789884489
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",10,"154510","ENG_062_MZB_LO_3350","DOWLES BROOK",52.3848425031,-2.3388628246,2010,2024,15,15,724.480970204749
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",11,"53297","ENG_041_MZB_LO_3518","Wom-Penn Bk - source to conf Smestow Bk",52.54189,-2.1975369,1994,2019,26,25,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",11,"53297","ENG_062_MZB_LO_2052","MERRYHILL/WARSTONES BROOK",52.5416652684,-2.1957759765,2002,2021,20,20,117.916965600926
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",12,"53318","ENG_041_MZB_LO_3519","Blakedown Bk - source to conf R Stour",52.416537,-2.1600711,1994,2019,26,23,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",12,"53318","ENG_062_MZB_LO_2055","BLAKEDOWN BROOK",52.4160368744,-2.161431667,2002,2021,20,19,104.338888466809
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",13,"54028","ENG_041_MZB_LO_3522","Hadley Bk - source to conf R Salwarpe",52.267254,-2.1911837,1994,2019,26,23,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",13,"54028","ENG_062_MZB_LO_2147","HADLEY/HOCKLEY BROOK",52.2662240783,-2.1915543122,2002,2024,23,21,113.362444859143
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",14,"65507","ENG_041_MZB_LO_3540","Eden - Eamont to tidal",54.902197,-2.8280369,1995,2018,24,24,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",14,"64223","ENG_062_MZB_LO_2732","CAIRN BECK",54.90358658,-2.8175272172,2002,2016,15,5,669.652985722023
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",14,"65507","ENG_062_MZB_LO_2833","EDEN (NW NORTH)",54.9008924781,-2.8265484921,2002,2019,18,18,168.259312861383
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",15,"1660","ENG_041_MZB_LO_3541","Coquet from Forest Burn to Tidal Limit",55.338476,-1.6279117,1994,2019,26,24,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",15,"1660","ENG_062_MZB_LO_310","COQUET",55.3381780631,-1.6294584572,2002,2023,22,20,100.359592563762
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",16,"65114","ENG_041_MZB_LO_3547","Yarrow US Big Lodge Water",53.642314,-2.6043327,1997,2010,14,13,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",16,"67369","ENG_062_MZB_LO_2923","YARROW",53.6409557526,-2.6181958541,2002,2014,13,10,898.403975556592
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",16,"68310","ENG_062_MZB_LO_3007","BLACK BROOK (YARROW)",53.641270251,-2.618215572,2002,2013,12,12,894.770505725661
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",17,"65646","ENG_041_MZB_LO_3553","Yarrow US Big Lodge Water",53.657166,-2.6125345,1997,2010,14,13,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",17,"69655","ENG_062_MZB_LO_3065","BLACK BROOK (YARROW)",53.6653923587,-2.6064457896,2002,2013,12,12,966.962926601378
